"Label (Grouping)","Daly City city, California!!Estimate","Daly City city, California!!Margin of Error","Daly City city, California!!Percent","Daly City city, California!!Percent Margin of Error","Redwood City city, California!!Estimate","Redwood City city, California!!Margin of Error","Redwood City city, California!!Percent","Redwood City city, California!!Percent Margin of Error","San Mateo city, California!!Estimate","San Mateo city, California!!Margin of Error","San Mateo city, California!!Percent","San Mateo city, California!!Percent Margin of Error"
"        With Social Security","11,848","±1,637","36.0%","±4.7","5,598","±890","19.0%","±2.8","10,427","±1,535","26.5%","±3.6"
"            Mean Social Security income (dollars)","20,441","±2,265","(X)","(X)","23,857","±2,410","(X)","(X)","23,964","±2,216","(X)","(X)"
"        With retirement income","8,422","±1,638","25.6%","±4.6","4,690","±1,053","15.9%","±3.3","7,982","±1,218","20.3%","±2.9"
"            Mean retirement income (dollars)","26,481","±5,347","(X)","(X)","50,826","±22,073","(X)","(X)","33,663","±5,702","(X)","(X)"
"        With Supplemental Security Income","2,464","±845","7.5%","±2.5","724","±513","2.5%","±1.7","1,466","±809","3.7%","±2.0"
"            Mean Supplemental Security Income (dollars)","11,530","±3,096","(X)","(X)","12,898","±4,502","(X)","(X)","10,823","±3,474","(X)","(X)"
"        With cash public assistance income","2,585","±815","7.9%","±2.6","1,222","±491","4.1%","±1.7","796","±376","2.0%","±0.9"
"            Mean cash public assistance income (dollars)","5,794","±2,017","(X)","(X)","11,298","±4,911","(X)","(X)","6,478","±2,745","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","3,091","±1,097","9.4%","±3.4","1,711","±613","5.8%","±2.2","1,520","±716","3.9%","±1.8"
"    Families","22,771","±1,396","22,771","(X)","19,931","±1,075","19,931","(X)","24,534","±1,417","24,534","(X)"
"        Less than $10,000","642","±502","2.8%","±2.2","212","±159","1.1%","±0.8","527","±521","2.1%","±2.1"
"        $10,000 to $14,999","152","±175","0.7%","±0.8","133","±175","0.7%","±0.9","326","±382","1.3%","±1.6"
"        $15,000 to $24,999","359","±443","1.6%","±1.9","243","±227","1.2%","±1.1","334","±194","1.4%","±0.8"
"        $25,000 to $34,999","691","±394","3.0%","±1.7","427","±277","2.1%","±1.4","442","±327","1.8%","±1.3"
"        $35,000 to $49,999","1,144","±524","5.0%","±2.2","633","±318","3.2%","±1.6","1,977","±791","8.1%","±3.2"
"        $50,000 to $74,999","3,781","±1,206","16.6%","±5.2","1,999","±834","10.0%","±4.1","2,402","±750","9.8%","±3.0"
"        $75,000 to $99,999","2,682","±924","11.8%","±4.0","1,260","±471","6.3%","±2.4","2,091","±772","8.5%","±3.2"
"        $100,000 to $149,999","5,597","±1,188","24.6%","±5.2","4,019","±1,046","20.2%","±5.3","4,110","±944","16.8%","±3.8"
"        $150,000 to $199,999","3,288","±1,003","14.4%","±4.3","2,228","±695","11.2%","±3.3","2,283","±723","9.3%","±2.9"
"        $200,000 or more","4,435","±982","19.5%","±4.3","8,777","±1,178","44.0%","±5.2","10,042","±1,374","40.9%","±5.0"
"        Median family income (dollars)","113,991","±13,911","(X)","(X)","166,263","±18,089","(X)","(X)","153,194","±24,087","(X)","(X)"
"        Mean family income (dollars)","144,062","±18,202","(X)","(X)","250,880","±34,017","(X)","(X)","227,008","±20,888","(X)","(X)"
"    Per capita income (dollars)","42,173","±4,399","(X)","(X)","80,323","±8,978","(X)","(X)","75,607","±5,693","(X)","(X)"
"    Nonfamily households","10,116","±1,893","10,116","(X)","9,519","±1,762","9,519","(X)","14,806","±2,009","14,806","(X)"
"        Median nonfamily income (dollars)","42,044","±16,902","(X)","(X)","102,754","±19,124","(X)","(X)","78,975","±14,330","(X)","(X)"
"        Mean nonfamily income (dollars)","68,283","±14,190","(X)","(X)","146,285","±28,582","(X)","(X)","121,134","±17,470","(X)","(X)"
"    Median earnings for workers (dollars)","41,955","±4,478","(X)","(X)","72,782","±5,387","(X)","(X)","81,997","±9,448","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","59,572","±6,987","(X)","(X)","106,069","±15,547","(X)","(X)","122,669","±21,726","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","53,741","±7,421","(X)","(X)","91,548","±20,060","(X)","(X)","105,947","±13,051","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","","","","","","","","","",""
"    Civilian noninstitutionalized population","100,844","±287","100,844","(X)","80,848","±392","80,848","(X)","101,956","±217","101,956","(X)"
"        With health insurance coverage","95,611","±2,205","94.8%","±2.2","78,271","±911","96.8%","±1.0","97,405","±1,785","95.5%","±1.8"
"            With private health insurance","74,207","±3,117","73.6%","±3.1","64,379","±2,779","79.6%","±3.4","78,162","±4,564","76.7%","±4.5"
"            With public coverage","37,331","±3,647","37.0%","±3.6","21,862","±3,075","27.0%","±3.8","30,682","±3,791","30.1%","±3.7"
"        No health insurance coverage","5,233","±2,209","5.2%","±2.2","2,577","±845","3.2%","±1.0","4,551","±1,809","4.5%","±1.8"
"    Civilian noninstitutionalized population under 19 years","15,592","±2,191","15,592","(X)","17,124","±2,127","17,124","(X)","21,555","±2,485","21,555","(X)"
"        No health insurance coverage","651","±769","4.2%","±5.0","352","±364","2.1%","±2.1","677","±502","3.1%","±2.4"
"    Civilian noninstitutionalized population 19 to 64 years","62,805","±2,546","62,805","(X)","53,795","±2,312","53,795","(X)","63,725","±2,835","63,725","(X)"
"        In labor force:","52,487","±2,676","52,487","(X)","44,501","±2,443","44,501","(X)","53,357","±2,543","53,357","(X)"
"            Employed:","47,790","±3,024","47,790","(X)","41,872","±2,275","41,872","(X)","49,941","±2,741","49,941","(X)"
"                With health insurance coverage","45,049","±2,996","94.3%","±3.2","40,748","±2,278","97.3%","±1.1","46,751","±3,145","93.6%","±3.2"
"                    With private health insurance","41,675","±3,161","87.2%","±3.9","38,134","±2,334","91.1%","±2.4","43,413","±3,424","86.9%","±4.1"
"                    With public coverage","4,230","±1,300","8.9%","±2.7","3,477","±1,153","8.3%","±2.7","4,127","±1,293","8.3%","±2.6"
"                No health insurance coverage","2,741","±1,566","5.7%","±3.2","1,124","±451","2.7%","±1.1","3,190","±1,605","6.4%","±3.2"
"            Unemployed:","4,697","±1,268","4,697","(X)","2,629","±1,043","2,629","(X)","3,416","±1,366","3,416","(X)"
"                With health insurance coverage","3,707","±1,119","78.9%","±11.1","2,234","±836","85.0%","±12.9","3,354","±1,345","98.2%","±3.1"
"                    With private health insurance","1,704","±733","36.3%","±12.7","1,247","±576","47.4%","±22.3","2,046","±968","59.9%","±16.7"
"                    With public coverage","2,183","±853","46.5%","±13.4","1,306","±687","49.7%","±15.5","1,372","±765","40.2%","±15.9"
"                No health insurance coverage","990","±590","21.1%","±11.1","395","±402","15.0%","±12.9","62","±103","1.8%","±3.1"
"        Not in labor force:","10,318","±1,782","10,318","(X)","9,294","±1,582","9,294","(X)","10,368","±1,761","10,368","(X)"
"            With health insurance coverage","9,659","±1,714","93.6%","±4.6","8,825","±1,546","95.0%","±3.2","9,746","±1,653","94.0%","±4.1"
"                With private health insurance","5,381","±1,218","52.2%","±8.2","6,489","±1,268","69.8%","±8.8","7,207","±1,562","69.5%","±8.1"
"                With public coverage","4,340","±1,172","42.1%","±8.8","3,211","±1,164","34.5%","±9.8","3,269","±1,020","31.5%","±8.8"
"            No health insurance coverage","659","±485","6.4%","±4.6","469","±305","5.0%","±3.2","622","±444","6.0%","±4.1"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","","","","","",""
"    All families","(X)","(X)","5.1%","±2.9","(X)","(X)","2.0%","±1.3","(X)","(X)","4.3%","±2.7"
"        With related children of the householder under 18 years","(X)","(X)","7.6%","±5.8","(X)","(X)","2.4%","±2.5","(X)","(X)","1.2%","±1.4"
"            With related children of the householder under 5 years only","(X)","(X)","12.7%","±16.9","(X)","(X)","0.0%","±9.2","(X)","(X)","0.0%","±8.0"
"        Married couple families","(X)","(X)","4.5%","±3.1","(X)","(X)","1.4%","±1.1","(X)","(X)","3.9%","±2.9"
"            With related children of the householder under 18 years","(X)","(X)","8.0%","±6.9","(X)","(X)","0.9%","±1.6","(X)","(X)","0.0%","±2.4"
"                With related children of the householder under 5 years only","(X)","(X)","5.7%","±11.4","(X)","(X)","0.0%","±12.4","(X)","(X)","0.0%","±10.1"
"        Families with female householder, no spouse present","(X)","(X)","2.3%","±3.9","(X)","(X)","8.2%","±8.9","(X)","(X)","1.4%","±2.3"
"            With related children of the householder under 18 years","(X)","(X)","9.6%","±15.1","(X)","(X)","12.8%","±16.6","(X)","(X)","2.8%","±4.5"
"                With related children of the householder under 5 years only","(X)","(X)","66.4%","±61.2","(X)","(X)","0.0%","±37.7","(X)","(X)","0.0%","±33.4"
"    All people","(X)","(X)","7.8%","±2.8","(X)","(X)","5.1%","±2.0","(X)","(X)","6.0%","±2.1"
"        Under 18 years","(X)","(X)","5.8%","±4.7","(X)","(X)","3.8%","±4.3","(X)","(X)","1.3%","±1.7"
"            Related children of the householder under 18 years","(X)","(X)","5.8%","±4.7","(X)","(X)","3.8%","±4.3","(X)","(X)","1.3%","±1.7"
"                Related children of the householder under 5 years","(X)","(X)","13.7%","±13.5","(X)","(X)","1.4%","±2.3","(X)","(X)","1.1%","±1.8"
"                Related children of the householder 5 to 17 years","(X)","(X)","4.0%","±3.8","(X)","(X)","4.5%","±5.4","(X)","(X)","1.4%","±1.8"
"        18 years and over","(X)","(X)","8.1%","±2.8","(X)","(X)","5.4%","±2.2","(X)","(X)","7.1%","±2.5"
"            18 to 64 years","(X)","(X)","8.0%","±3.4","(X)","(X)","4.6%","±1.8","(X)","(X)","6.0%","±2.7"
"            65 years and over","(X)","(X)","8.4%","±3.3","(X)","(X)","10.3%","±7.4","(X)","(X)","11.6%","±5.5"
"        People in families","(X)","(X)","4.4%","±2.8","(X)","(X)","2.0%","±1.5","(X)","(X)","3.6%","±2.2"
"        Unrelated individuals 15 years and over","(X)","(X)","22.7%","±6.6","(X)","(X)","17.8%","±7.3","(X)","(X)","14.3%","±4.5"
