"Label (Grouping)","Fairfield city, California!!Estimate","Fairfield city, California!!Margin of Error","Fairfield city, California!!Percent","Fairfield city, California!!Percent Margin of Error","Vacaville city, California!!Estimate","Vacaville city, California!!Margin of Error","Vacaville city, California!!Percent","Vacaville city, California!!Percent Margin of Error","Vallejo city, California!!Estimate","Vallejo city, California!!Margin of Error","Vallejo city, California!!Percent","Vallejo city, California!!Percent Margin of Error"
"        Retail trade","5,275","±1,352","10.5%","±2.6","5,245","±1,344","10.8%","±2.8","6,308","±1,586","11.1%","±2.8"
"        Transportation and warehousing, and utilities","4,445","±1,374","8.8%","±2.7","2,873","±934","5.9%","±1.9","4,532","±1,637","8.0%","±2.7"
"        Information","533","±291","1.1%","±0.6","546","±257","1.1%","±0.5","1,945","±827","3.4%","±1.5"
"        Finance and insurance, and real estate and rental and leasing","2,717","±941","5.4%","±1.8","2,197","±687","4.5%","±1.4","2,878","±907","5.1%","±1.6"
"        Professional, scientific, and management, and administrative and waste management services","6,467","±1,243","12.9%","±2.4","4,204","±1,252","8.7%","±2.5","7,095","±1,579","12.5%","±2.5"
"        Educational services, and health care and social assistance","11,123","±1,806","22.1%","±3.4","12,500","±2,064","25.8%","±3.9","13,635","±1,847","24.0%","±3.0"
"        Arts, entertainment, and recreation, and accommodation and food services","4,206","±1,291","8.4%","±2.5","4,946","±1,437","10.2%","±2.7","4,035","±1,686","7.1%","±2.9"
"        Other services, except public administration","3,250","±1,057","6.5%","±2.0","1,901","±824","3.9%","±1.7","3,045","±892","5.4%","±1.6"
"        Public administration","3,222","±1,001","6.4%","±1.9","3,599","±1,084","7.4%","±2.3","4,146","±1,148","7.3%","±2.0"
"CLASS OF WORKER","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","50,252","±2,815","50,252","(X)","48,532","±2,936","48,532","(X)","56,850","±3,082","56,850","(X)"
"        Private wage and salary workers","37,449","±2,763","74.5%","±3.6","37,870","±3,269","78.0%","±4.0","42,739","±3,297","75.2%","±3.9"
"        Government workers","9,475","±1,679","18.9%","±3.2","8,804","±1,687","18.1%","±3.5","9,844","±2,041","17.3%","±3.6"
"        Self-employed in own not incorporated business workers","3,197","±1,096","6.4%","±2.2","1,858","±687","3.8%","±1.4","4,114","±1,292","7.2%","±2.2"
"        Unpaid family workers","131","±130","0.3%","±0.3","0","±218","0.0%","±0.4","153","±185","0.3%","±0.3"
"INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Total households","38,097","±1,931","38,097","(X)","33,777","±1,798","33,777","(X)","43,906","±1,958","43,906","(X)"
"        Less than $10,000","2,099","±857","5.5%","±2.2","840","±454","2.5%","±1.3","2,440","±968","5.6%","±2.1"
"        $10,000 to $14,999","671","±392","1.8%","±1.0","1,045","±551","3.1%","±1.6","2,065","±822","4.7%","±1.9"
"        $15,000 to $24,999","1,970","±766","5.2%","±2.0","1,221","±594","3.6%","±1.7","3,248","±1,104","7.4%","±2.4"
"        $25,000 to $34,999","2,070","±693","5.4%","±1.9","1,432","±736","4.2%","±2.1","1,951","±762","4.4%","±1.8"
"        $35,000 to $49,999","3,053","±915","8.0%","±2.4","2,929","±1,007","8.7%","±3.0","5,313","±1,289","12.1%","±2.7"
"        $50,000 to $74,999","6,453","±1,223","16.9%","±3.0","4,555","±1,102","13.5%","±3.1","6,141","±1,483","14.0%","±3.4"
"        $75,000 to $99,999","4,084","±1,113","10.7%","±2.9","5,304","±1,272","15.7%","±3.6","6,845","±1,297","15.6%","±3.0"
"        $100,000 to $149,999","9,686","±1,574","25.4%","±3.7","7,915","±1,372","23.4%","±3.9","7,502","±1,137","17.1%","±2.5"
"        $150,000 to $199,999","3,430","±902","9.0%","±2.5","4,477","±1,147","13.3%","±3.3","5,006","±1,166","11.4%","±2.7"
"        $200,000 or more","4,581","±951","12.0%","±2.4","4,059","±891","12.0%","±2.7","3,395","±958","7.7%","±2.2"
"        Median household income (dollars)","90,346","±10,065","(X)","(X)","97,777","±8,900","(X)","(X)","77,711","±4,494","(X)","(X)"
"        Mean household income (dollars)","111,091","±7,730","(X)","(X)","112,874","±7,038","(X)","(X)","100,760","±12,571","(X)","(X)"
"        With earnings","30,958","±1,830","81.3%","±3.2","27,557","±1,447","81.6%","±2.9","33,785","±1,837","76.9%","±2.8"
"            Mean earnings (dollars)","105,826","±8,932","(X)","(X)","107,679","±8,284","(X)","(X)","96,399","±13,936","(X)","(X)"
"        With Social Security","11,140","±1,553","29.2%","±3.7","9,764","±1,475","28.9%","±3.7","15,156","±1,561","34.5%","±3.5"
"            Mean Social Security income (dollars)","20,556","±2,465","(X)","(X)","23,394","±1,952","(X)","(X)","20,942","±1,432","(X)","(X)"
"        With retirement income","10,744","±1,597","28.2%","±3.7","9,041","±1,402","26.8%","±3.7","13,841","±1,719","31.5%","±3.9"
"            Mean retirement income (dollars)","33,875","±6,265","(X)","(X)","36,820","±4,062","(X)","(X)","32,780","±4,098","(X)","(X)"
"        With Supplemental Security Income","3,000","±863","7.9%","±2.3","1,672","±556","5.0%","±1.6","2,170","±702","4.9%","±1.6"
"            Mean Supplemental Security Income (dollars)","9,221","±1,210","(X)","(X)","10,703","±2,330","(X)","(X)","9,369","±2,305","(X)","(X)"
"        With cash public assistance income","2,628","±843","6.9%","±2.2","935","±640","2.8%","±1.9","2,792","±940","6.4%","±2.2"
"            Mean cash public assistance income (dollars)","5,733","±2,159","(X)","(X)","4,722","±1,146","(X)","(X)","10,585","±3,798","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","4,940","±1,169","13.0%","±3.0","2,552","±987","7.6%","±2.9","5,762","±1,234","13.1%","±2.8"
"    Families","27,941","±1,600","27,941","(X)","25,036","±1,303","25,036","(X)","28,984","±1,745","28,984","(X)"
"        Less than $10,000","894","±494","3.2%","±1.8","518","±393","2.1%","±1.6","1,219","±1,019","4.2%","±3.5"
"        $10,000 to $14,999","220","±222","0.8%","±0.8","413","±399","1.6%","±1.6","804","±652","2.8%","±2.2"
"        $15,000 to $24,999","992","±513","3.6%","±1.8","550","±369","2.2%","±1.5","1,079","±488","3.7%","±1.7"
"        $25,000 to $34,999","1,488","±544","5.3%","±1.9","890","±649","3.6%","±2.5","976","±603","3.4%","±2.1"
"        $35,000 to $49,999","2,981","±834","10.7%","±2.9","2,287","±943","9.1%","±3.8","3,207","±1,014","11.1%","±3.2"
"        $50,000 to $74,999","4,697","±1,033","16.8%","±3.5","3,086","±866","12.3%","±3.5","3,712","±1,042","12.8%","±3.5"
"        $75,000 to $99,999","2,949","±931","10.6%","±3.2","4,371","±1,221","17.5%","±4.7","4,478","±954","15.4%","±3.4"
"        $100,000 to $149,999","6,593","±1,117","23.6%","±3.8","5,855","±1,293","23.4%","±4.9","6,512","±1,128","22.5%","±3.9"
"        $150,000 to $199,999","3,011","±847","10.8%","±3.0","3,199","±855","12.8%","±3.4","4,331","±1,057","14.9%","±3.5"
"        $200,000 or more","4,116","±943","14.7%","±3.3","3,867","±909","15.4%","±3.7","2,666","±720","9.2%","±2.5"
"        Median family income (dollars)","97,087","±10,280","(X)","(X)","101,699","±7,628","(X)","(X)","94,794","±7,165","(X)","(X)"
"        Mean family income (dollars)","121,827","±10,268","(X)","(X)","120,161","±8,832","(X)","(X)","111,580","±10,282","(X)","(X)"
"    Per capita income (dollars)","35,688","±2,796","(X)","(X)","38,399","±2,740","(X)","(X)","37,204","±4,484","(X)","(X)"
"    Nonfamily households","10,156","±1,848","10,156","(X)","8,741","±1,711","8,741","(X)","14,922","±2,001","14,922","(X)"
"        Median nonfamily income (dollars)","58,365","±9,564","(X)","(X)","67,514","±8,505","(X)","(X)","40,753","±4,622","(X)","(X)"
"        Mean nonfamily income (dollars)","65,866","±10,108","(X)","(X)","82,179","±12,676","(X)","(X)","61,013","±15,901","(X)","(X)"
"    Median earnings for workers (dollars)","42,020","±4,690","(X)","(X)","44,039","±5,143","(X)","(X)","38,703","±3,878","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","66,707","±10,768","(X)","(X)","71,342","±6,493","(X)","(X)","60,002","±6,971","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","51,999","±5,190","(X)","(X)","61,146","±4,560","(X)","(X)","50,055","±4,355","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","","","","","","","","","",""
"    Civilian noninstitutionalized population","116,931","±825","116,931","(X)","94,227","±1,361","94,227","(X)","124,432","±281","124,432","(X)"
"        With health insurance coverage","109,493","±2,255","93.6%","±1.7","91,439","±1,550","97.0%","±1.2","115,597","±2,721","92.9%","±2.2"
"            With private health insurance","79,114","±3,709","67.7%","±3.1","75,073","±3,361","79.7%","±3.4","86,720","±4,583","69.7%","±3.7"
"            With public coverage","46,738","±4,014","40.0%","±3.4","29,157","±3,864","30.9%","±4.2","47,319","±4,123","38.0%","±3.3"
"        No health insurance coverage","7,438","±2,040","6.4%","±1.7","2,788","±1,109","3.0%","±1.2","8,835","±2,713","7.1%","±2.2"
"    Civilian noninstitutionalized population under 19 years","33,467","±2,461","33,467","(X)","21,535","±2,785","21,535","(X)","26,244","±2,591","26,244","(X)"
"        No health insurance coverage","1,534","±922","4.6%","±2.7","355","±417","1.6%","±1.9","1,106","±956","4.2%","±3.6"
"    Civilian noninstitutionalized population 19 to 64 years","67,562","±2,484","67,562","(X)","58,737","±2,775","58,737","(X)","74,631","±2,621","74,631","(X)"
"        In labor force:","50,464","±2,536","50,464","(X)","47,725","±2,906","47,725","(X)","57,060","±3,063","57,060","(X)"
"            Employed:","46,605","±2,543","46,605","(X)","45,277","±3,046","45,277","(X)","51,254","±2,934","51,254","(X)"
"                With health insurance coverage","43,411","±2,579","93.1%","±2.4","43,820","±2,999","96.8%","±1.4","46,603","±3,013","90.9%","±3.6"
"                    With private health insurance","37,102","±2,609","79.6%","±3.3","40,284","±3,194","89.0%","±3.3","42,162","±3,010","82.3%","±4.1"
"                    With public coverage","8,821","±1,815","18.9%","±3.8","5,048","±1,479","11.1%","±3.3","5,874","±1,308","11.5%","±2.5"
"                No health insurance coverage","3,194","±1,133","6.9%","±2.4","1,457","±664","3.2%","±1.4","4,651","±1,881","9.1%","±3.6"
"            Unemployed:","3,859","±1,111","3,859","(X)","2,448","±974","2,448","(X)","5,806","±1,521","5,806","(X)"
"                With health insurance coverage","3,319","±974","86.0%","±12.3","1,994","±897","81.5%","±14.7","5,188","±1,460","89.4%","±6.7"
"                    With private health insurance","2,427","±791","62.9%","±15.7","1,494","±806","61.0%","±19.2","2,998","±1,113","51.6%","±13.5"
"                    With public coverage","937","±638","24.3%","±14.5","538","±399","22.0%","±15.4","2,407","±1,003","41.5%","±13.8"
"                No health insurance coverage","540","±529","14.0%","±12.3","454","±376","18.5%","±14.7","618","±409","10.6%","±6.7"
"        Not in labor force:","17,098","±1,832","17,098","(X)","11,012","±1,694","11,012","(X)","17,571","±2,436","17,571","(X)"
"            With health insurance coverage","15,058","±1,898","88.1%","±4.9","10,490","±1,748","95.3%","±3.1","15,452","±2,464","87.9%","±4.6"
"                With private health insurance","8,225","±1,179","48.1%","±5.5","7,176","±1,661","65.2%","±8.3","9,452","±2,233","53.8%","±8.2"
"                With public coverage","8,599","±1,496","50.3%","±6.3","4,115","±1,002","37.4%","±8.9","7,424","±1,521","42.3%","±7.6"
"            No health insurance coverage","2,040","±831","11.9%","±4.9","522","±325","4.7%","±3.1","2,119","±786","12.1%","±4.6"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","","","","","","","","","",""
"    All families","(X)","(X)","7.5%","±2.9","(X)","(X)","5.0%","±2.5","(X)","(X)","9.8%","±4.1"
"        With related children of the householder under 18 years","(X)","(X)","11.3%","±4.5","(X)","(X)","5.3%","±3.4","(X)","(X)","16.7%","±7.2"
"            With related children of the householder under 5 years only","(X)","(X)","3.6%","±5.7","(X)","(X)","7.7%","±12.2","(X)","(X)","0.0%","±13.4"
"        Married couple families","(X)","(X)","5.8%","±3.1","(X)","(X)","3.3%","±2.6","(X)","(X)","4.5%","±3.0"
"            With related children of the householder under 18 years","(X)","(X)","7.1%","±4.9","(X)","(X)","1.4%","±1.8","(X)","(X)","5.0%","±4.9"
"                With related children of the householder under 5 years only","(X)","(X)","0.0%","±10.4","(X)","(X)","0.0%","±13.9","(X)","(X)","0.0%","±15.4"
"        Families with female householder, no spouse present","(X)","(X)","15.6%","±8.8","(X)","(X)","12.7%","±8.3","(X)","(X)","21.5%","±11.8"
"            With related children of the householder under 18 years","(X)","(X)","27.2%","±13.9","(X)","(X)","19.5%","±16.0","(X)","(X)","33.7%","±16.0"
"                With related children of the householder under 5 years only","(X)","(X)","18.2%","±27.1","(X)","(X)","100.0%","±69.1","(X)","(X)","0.0%","±52.8"
"    All people","(X)","(X)","12.3%","±3.4","(X)","(X)","5.7%","±2.0","(X)","(X)","13.0%","±3.1"
"        Under 18 years","(X)","(X)","17.0%","±6.4","(X)","(X)","6.7%","±4.7","(X)","(X)","17.9%","±7.9"
"            Related children of the householder under 18 years","(X)","(X)","16.4%","±6.5","(X)","(X)","6.7%","±4.7","(X)","(X)","16.8%","±7.7"
"                Related children of the householder under 5 years","(X)","(X)","21.7%","±11.3","(X)","(X)","10.2%","±10.5","(X)","(X)","16.7%","±13.0"
"                Related children of the householder 5 to 17 years","(X)","(X)","14.3%","±6.2","(X)","(X)","5.5%","±4.7","(X)","(X)","16.9%","±7.2"
"        18 years and over","(X)","(X)","10.6%","±2.9","(X)","(X)","5.5%","±1.9","(X)","(X)","11.8%","±2.5"
"            18 to 64 years","(X)","(X)","11.5%","±3.4","(X)","(X)","5.8%","±2.2","(X)","(X)","13.1%","±3.1"
"            65 years and over","(X)","(X)","6.9%","±3.3","(X)","(X)","4.2%","±2.1","(X)","(X)","7.8%","±3.1"
"        People in families","(X)","(X)","9.7%","±3.7","(X)","(X)","4.4%","±2.2","(X)","(X)","9.3%","±3.7"
"        Unrelated individuals 15 years and over","(X)","(X)","27.6%","±7.1","(X)","(X)","13.7%","±5.0","(X)","(X)","27.1%","±5.3"
