"Label (Grouping)","Antioch city, California!!Estimate","Antioch city, California!!Margin of Error","Antioch city, California!!Percent","Antioch city, California!!Percent Margin of Error","Concord city, California!!Estimate","Concord city, California!!Margin of Error","Concord city, California!!Percent","Concord city, California!!Percent Margin of Error","Pittsburg city, California!!Estimate","Pittsburg city, California!!Margin of Error","Pittsburg city, California!!Percent","Pittsburg city, California!!Percent Margin of Error","Richmond city, California!!Estimate","Richmond city, California!!Margin of Error","Richmond city, California!!Percent","Richmond city, California!!Percent Margin of Error","San Ramon city, California!!Estimate","San Ramon city, California!!Margin of Error","San Ramon city, California!!Percent","San Ramon city, California!!Percent Margin of Error","Walnut Creek city, California!!Estimate","Walnut Creek city, California!!Margin of Error","Walnut Creek city, California!!Percent","Walnut Creek city, California!!Percent Margin of Error"
"    Females 16 years and over","45,382","±2,509","45,382","(X)","52,029","±2,799","52,029","(X)","29,636","±1,512","29,636","(X)","49,878","±2,419","49,878","(X)","32,113","±1,383","32,113","(X)","31,010","±1,620","31,010","(X)"
"        In labor force","27,246","±2,603","60.0%","±4.5","32,213","±2,670","61.9%","±3.7","19,064","±1,498","64.3%","±4.9","31,807","±2,720","63.8%","±4.0","18,714","±1,598","58.3%","±4.1","16,970","±1,927","54.7%","±4.7"
"            Civilian labor force","27,246","±2,603","60.0%","±4.5","32,213","±2,670","61.9%","±3.7","18,873","±1,561","63.7%","±5.0","31,807","±2,720","63.8%","±4.0","18,714","±1,598","58.3%","±4.1","16,832","±1,905","54.3%","±4.7"
"                Employed","24,756","±2,436","54.6%","±4.7","29,963","±2,579","57.6%","±3.9","17,217","±1,495","58.1%","±5.2","29,354","±2,708","58.9%","±4.3","18,072","±1,606","56.3%","±4.2","16,496","±1,954","53.2%","±4.9"
"    Own children of the householder under 6 years","9,028","±2,093","9,028","(X)","9,362","±2,102","9,362","(X)","4,771","±1,238","4,771","(X)","8,688","±1,880","8,688","(X)","N","N","N","N","N","N","N","N"
"        All parents in family in labor force","5,703","±1,555","63.2%","±17.0","4,613","±1,513","49.3%","±12.0","3,695","±1,235","77.4%","±13.9","4,712","±1,438","54.2%","±13.5","N","N","N","N","N","N","N","N"
"    Own children of the householder 6 to 17 years","17,819","±2,471","17,819","(X)","15,317","±2,135","15,317","(X)","9,939","±1,936","9,939","(X)","16,136","±2,391","16,136","(X)","N","N","N","N","N","N","N","N"
"        All parents in family in labor force","12,732","±1,965","71.5%","±8.6","11,211","±2,153","73.2%","±7.9","7,589","±1,884","76.4%","±8.3","10,887","±1,884","67.5%","±8.9","N","N","N","N","N","N","N","N"
"COMMUTING TO WORK","","","","","","","","","","","","","","","","","","","","","","","",""
"    Workers 16 years and over","50,473","±3,513","50,473","(X)","59,938","±3,397","59,938","(X)","36,164","±2,335","36,164","(X)","53,754","±3,355","53,754","(X)","41,940","±2,222","41,940","(X)","32,259","±2,385","32,259","(X)"
"        Car, truck, or van -- drove alone","35,098","±3,207","69.5%","±3.8","35,775","±3,103","59.7%","±3.8","25,145","±2,634","69.5%","±4.8","32,317","±3,409","60.1%","±4.8","18,527","±2,433","44.2%","±4.9","14,678","±2,246","45.5%","±5.7"
"        Car, truck, or van -- carpooled","5,068","±1,365","10.0%","±2.7","5,278","±1,498","8.8%","±2.4","4,809","±1,452","13.3%","±4.0","6,125","±2,338","11.4%","±4.4","1,436","±605","3.4%","±1.4","2,581","±1,114","8.0%","±3.6"
"        Public transportation (excluding taxicab)","1,696","±775","3.4%","±1.5","2,522","±1,205","4.2%","±2.0","869","±396","2.4%","±1.1","2,664","±813","5.0%","±1.5","257","±199","0.6%","±0.5","592","±399","1.8%","±1.2"
"        Walked","510","±388","1.0%","±0.8","910","±564","1.5%","±0.9","238","±251","0.7%","±0.7","557","±319","1.0%","±0.6","1,266","±777","3.0%","±1.8","867","±478","2.7%","±1.5"
"        Other means","930","±602","1.8%","±1.2","858","±449","1.4%","±0.7","512","±493","1.4%","±1.4","1,628","±991","3.0%","±1.8","290","±283","0.7%","±0.7","984","±806","3.1%","±2.5"
"        Worked from home","7,171","±1,368","14.2%","±2.6","14,595","±2,034","24.4%","±3.3","4,591","±1,071","12.7%","±3.0","10,463","±1,954","19.5%","±3.3","20,164","±2,218","48.1%","±5.3","12,557","±2,014","38.9%","±5.4"
"        Mean travel time to work (minutes)","39.7","±3.1","(X)","(X)","30.6","±2.4","(X)","(X)","34.0","±2.6","(X)","(X)","31.7","±2.4","(X)","(X)","31.6","±4.5","(X)","(X)","26.5","±2.9","(X)","(X)"
"OCCUPATION","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","51,393","±3,133","51,393","(X)","61,809","±3,357","61,809","(X)","38,107","±2,287","38,107","(X)","56,564","±3,648","56,564","(X)","42,794","±2,188","42,794","(X)","33,091","±2,427","33,091","(X)"
"        Management, business, science, and arts occupations","19,405","±2,421","37.8%","±3.7","26,220","±2,823","42.4%","±4.0","9,349","±1,536","24.5%","±4.1","22,473","±2,638","39.7%","±4.2","27,604","±1,884","64.5%","±4.2","20,386","±2,608","61.6%","±6.4"
"        Service occupations","10,997","±1,999","21.4%","±3.6","12,996","±2,185","21.0%","±3.4","10,841","±1,843","28.4%","±4.2","12,191","±2,440","21.6%","±4.2","3,263","±929","7.6%","±2.1","3,103","±1,189","9.4%","±3.5"
"        Sales and office occupations","9,500","±1,797","18.5%","±3.5","12,715","±1,935","20.6%","±2.9","6,752","±1,701","17.7%","±4.4","10,000","±2,050","17.7%","±3.1","8,251","±1,695","19.3%","±3.8","6,985","±1,640","21.1%","±4.6"
"        Natural resources, construction, and maintenance occupations","5,411","±1,598","10.5%","±3.0","4,020","±1,113","6.5%","±1.8","4,368","±1,348","11.5%","±3.4","4,025","±1,150","7.1%","±1.9","1,418","±788","3.3%","±1.8","1,331","±753","4.0%","±2.3"
"        Production, transportation, and material moving occupations","6,080","±1,396","11.8%","±2.8","5,858","±1,831","9.5%","±2.8","6,797","±1,619","17.8%","±4.0","7,875","±1,730","13.9%","±3.0","2,258","±1,117","5.3%","±2.5","1,286","±548","3.9%","±1.7"
"INDUSTRY","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","51,393","±3,133","51,393","(X)","61,809","±3,357","61,809","(X)","38,107","±2,287","38,107","(X)","56,564","±3,648","56,564","(X)","42,794","±2,188","42,794","(X)","33,091","±2,427","33,091","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","108","±178","0.2%","±0.3","126","±164","0.2%","±0.3","496","±409","1.3%","±1.1","127","±148","0.2%","±0.3","154","±145","0.4%","±0.3","122","±151","0.4%","±0.5"
"        Construction","4,634","±1,360","9.0%","±2.6","4,885","±1,315","7.9%","±2.2","3,287","±828","8.6%","±2.1","3,489","±1,071","6.2%","±1.9","2,406","±1,425","5.6%","±3.2","1,902","±872","5.7%","±2.6"
"        Manufacturing","2,613","±1,078","5.1%","±2.0","3,332","±1,082","5.4%","±1.7","2,070","±872","5.4%","±2.4","2,967","±1,047","5.2%","±1.8","5,147","±1,117","12.0%","±2.7","2,034","±703","6.1%","±2.1"
"        Wholesale trade","735","±479","1.4%","±0.9","898","±577","1.5%","±0.9","668","±587","1.8%","±1.5","2,443","±907","4.3%","±1.6","483","±412","1.1%","±1.0","647","±395","2.0%","±1.2"
"        Retail trade","4,854","±1,281","9.4%","±2.5","6,162","±1,324","10.0%","±2.1","6,642","±1,610","17.4%","±4.0","4,701","±1,540","8.3%","±2.6","4,802","±1,107","11.2%","±2.5","3,022","±971","9.1%","±2.7"
"        Transportation and warehousing, and utilities","4,926","±1,234","9.6%","±2.5","2,098","±768","3.4%","±1.2","2,155","±816","5.7%","±2.1","4,423","±1,147","7.8%","±2.1","1,870","±663","4.4%","±1.5","2,165","±674","6.5%","±2.1"
"        Information","1,201","±762","2.3%","±1.5","1,389","±606","2.2%","±1.0","268","±323","0.7%","±0.8","1,585","±636","2.8%","±1.1","1,783","±714","4.2%","±1.6","1,091","±851","3.3%","±2.6"
"        Finance and insurance, and real estate and rental and leasing","3,540","±1,085","6.9%","±2.2","4,465","±1,428","7.2%","±2.2","1,093","±499","2.9%","±1.3","4,112","±1,299","7.3%","±2.2","3,223","±855","7.5%","±2.1","3,749","±1,061","11.3%","±3.2"
"        Professional, scientific, and management, and administrative and waste management services","8,083","±1,953","15.7%","±3.6","12,195","±2,128","19.7%","±3.2","5,862","±1,570","15.4%","±4.0","9,509","±1,794","16.8%","±3.1","10,880","±1,539","25.4%","±3.6","6,714","±1,490","20.3%","±4.3"
"        Educational services, and health care and social assistance","9,676","±1,752","18.8%","±3.1","14,227","±2,083","23.0%","±3.3","9,285","±1,888","24.4%","±4.9","13,125","±2,193","23.2%","±3.5","8,317","±1,757","19.4%","±4.0","7,091","±1,204","21.4%","±3.2"
"        Arts, entertainment, and recreation, and accommodation and food services","4,897","±1,309","9.5%","±2.5","5,578","±1,376","9.0%","±2.1","3,048","±1,256","8.0%","±3.2","4,966","±1,207","8.8%","±2.1","1,273","±636","3.0%","±1.5","2,181","±879","6.6%","±2.6"
"        Other services, except public administration","3,045","±1,141","5.9%","±2.2","3,465","±1,149","5.6%","±1.8","1,605","±772","4.2%","±2.0","2,632","±946","4.7%","±1.6","1,198","±606","2.8%","±1.4","1,239","±950","3.7%","±2.8"
"        Public administration","3,081","±1,320","6.0%","±2.5","2,989","±1,141","4.8%","±1.8","1,628","±766","4.3%","±2.1","2,485","±745","4.4%","±1.3","1,258","±654","2.9%","±1.5","1,134","±684","3.4%","±2.0"
"CLASS OF WORKER","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian employed population 16 years and over","51,393","±3,133","51,393","(X)","61,809","±3,357","61,809","(X)","38,107","±2,287","38,107","(X)","56,564","±3,648","56,564","(X)","42,794","±2,188","42,794","(X)","33,091","±2,427","33,091","(X)"
"        Private wage and salary workers","40,766","±3,150","79.3%","±3.4","48,836","±3,360","79.0%","±3.1","31,331","±2,626","82.2%","±4.0","43,047","±3,314","76.1%","±3.3","37,065","±1,882","86.6%","±2.5","25,088","±2,679","75.8%","±5.2"
"        Government workers","7,483","±1,686","14.6%","±3.1","7,709","±1,552","12.5%","±2.5","5,471","±1,316","14.4%","±3.5","8,403","±1,691","14.9%","±2.8","3,303","±860","7.7%","±1.9","4,226","±1,285","12.8%","±3.8"
"        Self-employed in own not incorporated business workers","2,484","±1,023","4.8%","±2.0","5,095","±1,384","8.2%","±2.2","1,249","±572","3.3%","±1.5","5,114","±1,342","9.0%","±2.3","2,426","±880","5.7%","±2.0","3,777","±1,203","11.4%","±3.7"
"        Unpaid family workers","660","±650","1.3%","±1.3","169","±284","0.3%","±0.5","56","±92","0.1%","±0.2","0","±218","0.0%","±0.3","0","±218","0.0%","±0.5","0","±218","0.0%","±0.6"
"INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total households","37,081","±2,028","37,081","(X)","46,375","±2,202","46,375","(X)","23,827","±1,587","23,827","(X)","40,019","±2,362","40,019","(X)","29,662","±1,454","29,662","(X)","31,035","±1,730","31,035","(X)"
"        Less than $10,000","2,406","±1,159","6.5%","±3.0","2,031","±873","4.4%","±1.8","964","±547","4.0%","±2.2","2,017","±748","5.0%","±1.9","699","±445","2.4%","±1.5","1,504","±900","4.8%","±2.9"
"        $10,000 to $14,999","1,005","±592","2.7%","±1.6","906","±529","2.0%","±1.1","1,319","±690","5.5%","±2.8","1,960","±907","4.9%","±2.2","260","±213","0.9%","±0.7","860","±622","2.8%","±2.0"
"        $15,000 to $24,999","1,821","±977","4.9%","±2.6","1,669","±693","3.6%","±1.5","1,670","±784","7.0%","±3.2","3,358","±1,237","8.4%","±3.0","485","±301","1.6%","±1.0","526","±270","1.7%","±0.9"
"        $25,000 to $34,999","2,638","±1,035","7.1%","±2.7","2,420","±944","5.2%","±2.0","1,720","±814","7.2%","±3.4","1,322","±575","3.3%","±1.5","400","±230","1.3%","±0.8","1,369","±539","4.4%","±1.7"
"        $35,000 to $49,999","3,043","±1,054","8.2%","±2.8","5,632","±1,245","12.1%","±2.7","1,389","±606","5.8%","±2.5","3,509","±1,004","8.8%","±2.4","1,382","±714","4.7%","±2.4","2,275","±824","7.3%","±2.6"
"        $50,000 to $74,999","5,986","±1,355","16.1%","±3.4","6,107","±1,488","13.2%","±3.0","3,381","±983","14.2%","±4.0","6,008","±1,316","15.0%","±3.1","2,168","±968","7.3%","±3.2","3,333","±826","10.7%","±2.5"
"        $75,000 to $99,999","3,773","±1,109","10.2%","±3.0","5,503","±1,304","11.9%","±2.8","2,561","±864","10.7%","±3.6","4,472","±1,019","11.2%","±2.5","2,534","±947","8.5%","±3.1","3,044","±744","9.8%","±2.3"
"        $100,000 to $149,999","6,626","±1,562","17.9%","±4.1","8,672","±1,383","18.7%","±2.9","6,203","±1,346","26.0%","±5.4","6,885","±1,198","17.2%","±2.9","5,140","±1,129","17.3%","±3.8","6,474","±1,186","20.9%","±3.6"
"        $150,000 to $199,999","4,217","±1,028","11.4%","±2.8","5,805","±1,305","12.5%","±2.7","2,416","±671","10.1%","±2.8","5,007","±1,229","12.5%","±3.0","4,498","±1,126","15.2%","±3.6","4,376","±1,194","14.1%","±3.8"
"        $200,000 or more","5,566","±1,323","15.0%","±3.8","7,630","±1,351","16.5%","±3.1","2,204","±816","9.3%","±3.5","5,481","±1,058","13.7%","±2.6","12,096","±1,229","40.8%","±4.4","7,274","±1,032","23.4%","±3.2"
"        Median household income (dollars)","81,008","±12,996","(X)","(X)","96,961","±8,312","(X)","(X)","92,800","±14,236","(X)","(X)","85,754","±11,068","(X)","(X)","162,388","±18,736","(X)","(X)","118,483","±8,545","(X)","(X)"
"        Mean household income (dollars)","110,224","±11,260","(X)","(X)","123,084","±9,323","(X)","(X)","99,872","±8,262","(X)","(X)","112,611","±8,499","(X)","(X)","196,236","±12,811","(X)","(X)","143,749","±9,009","(X)","(X)"
"        With earnings","30,161","±1,707","81.3%","±3.7","37,724","±1,659","81.3%","±2.7","19,903","±1,258","83.5%","±4.0","33,030","±2,360","82.5%","±3.5","25,944","±1,107","87.5%","±3.2","21,466","±1,462","69.2%","±4.2"
"            Mean earnings (dollars)","110,727","±13,576","(X)","(X)","121,550","±9,060","(X)","(X)","99,247","±8,902","(X)","(X)","114,514","±9,846","(X)","(X)","198,583","±13,389","(X)","(X)","150,222","±11,921","(X)","(X)"
"        With Social Security","10,237","±1,744","27.6%","±4.0","12,467","±1,847","26.9%","±3.6","6,021","±1,028","25.3%","±4.0","12,484","±1,701","31.2%","±3.9","6,224","±1,321","21.0%","±4.0","11,957","±1,447","38.5%","±4.1"
"            Mean Social Security income (dollars)","22,411","±2,573","(X)","(X)","21,649","±1,715","(X)","(X)","18,439","±2,227","(X)","(X)","18,067","±2,117","(X)","(X)","25,232","±3,845","(X)","(X)","23,929","±1,603","(X)","(X)"
"        With retirement income","10,266","±1,635","27.7%","±4.0","11,615","±1,615","25.0%","±3.2","4,675","±959","19.6%","±3.9","8,414","±1,520","21.0%","±3.4","6,162","±1,292","20.8%","±3.9","10,176","±1,473","32.8%","±3.7"
"            Mean retirement income (dollars)","29,587","±6,406","(X)","(X)","41,779","±12,687","(X)","(X)","32,175","±7,094","(X)","(X)","29,629","±3,860","(X)","(X)","38,023","±10,411","(X)","(X)","48,287","±6,612","(X)","(X)"
"        With Supplemental Security Income","2,182","±932","5.9%","±2.5","2,623","±875","5.7%","±1.9","1,922","±758","8.1%","±3.1","3,176","±1,096","7.9%","±2.6","602","±311","2.0%","±1.1","1,057","±620","3.4%","±2.1"
"            Mean Supplemental Security Income (dollars)","9,980","±2,890","(X)","(X)","10,758","±2,928","(X)","(X)","9,396","±1,760","(X)","(X)","9,511","±2,280","(X)","(X)","7,710","±1,651","(X)","(X)","13,659","±3,065","(X)","(X)"
"        With cash public assistance income","2,781","±1,072","7.5%","±2.8","2,269","±750","4.9%","±1.6","1,939","±657","8.1%","±2.9","1,920","±849","4.8%","±2.1","934","±504","3.1%","±1.7","959","±631","3.1%","±2.0"
"            Mean cash public assistance income (dollars)","6,710","±1,628","(X)","(X)","8,373","±1,916","(X)","(X)","9,481","±4,938","(X)","(X)","7,218","±2,927","(X)","(X)","4,143","±1,844","(X)","(X)","12,594","±11,683","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","6,126","±1,563","16.5%","±4.1","4,549","±1,149","9.8%","±2.5","4,201","±1,114","17.6%","±4.7","7,103","±1,452","17.7%","±3.5","965","±575","3.3%","±1.9","1,125","±736","3.6%","±2.4"
"    Families","28,464","±1,954","28,464","(X)","30,984","±1,773","30,984","(X)","18,346","±1,252","18,346","(X)","28,683","±1,731","28,683","(X)","23,521","±1,249","23,521","(X)","18,247","±1,154","18,247","(X)"
"        Less than $10,000","1,427","±981","5.0%","±3.4","638","±475","2.1%","±1.5","497","±305","2.7%","±1.7","1,311","±691","4.6%","±2.5","410","±345","1.7%","±1.5","874","±733","4.8%","±3.9"
"        $10,000 to $14,999","863","±604","3.0%","±2.1","679","±452","2.2%","±1.5","665","±505","3.6%","±2.7","722","±520","2.5%","±1.8","149","±192","0.6%","±0.8","260","±221","1.4%","±1.2"
"        $15,000 to $24,999","1,028","±659","3.6%","±2.3","1,259","±665","4.1%","±2.1","981","±571","5.3%","±3.0","1,967","±994","6.9%","±3.3","177","±181","0.8%","±0.8","250","±218","1.4%","±1.2"
"        $25,000 to $34,999","1,294","±653","4.5%","±2.3","1,753","±793","5.7%","±2.5","1,721","±939","9.4%","±5.0","1,247","±567","4.3%","±1.9","39","±64","0.2%","±0.3","269","±207","1.5%","±1.1"
"        $35,000 to $49,999","1,845","±883","6.5%","±3.1","3,140","±931","10.1%","±3.0","1,169","±598","6.4%","±3.3","2,250","±783","7.8%","±2.6","874","±595","3.7%","±2.5","850","±544","4.7%","±3.0"
"        $50,000 to $74,999","4,886","±1,203","17.2%","±3.7","2,801","±917","9.0%","±2.9","3,084","±990","16.8%","±5.3","4,553","±1,155","15.9%","±3.7","1,750","±852","7.4%","±3.6","802","±472","4.4%","±2.6"
"        $75,000 to $99,999","3,466","±1,074","12.2%","±3.6","3,786","±912","12.2%","±2.8","1,459","±629","8.0%","±3.4","3,947","±938","13.8%","±3.5","1,757","±642","7.5%","±2.7","1,618","±502","8.9%","±2.7"
"        $100,000 to $149,999","4,849","±1,117","17.0%","±4.0","6,391","±1,164","20.6%","±3.5","4,909","±1,068","26.8%","±5.6","4,783","±875","16.7%","±3.2","3,581","±819","15.2%","±3.3","4,071","±908","22.3%","±4.6"
"        $150,000 to $199,999","3,814","±994","13.4%","±3.4","4,368","±1,243","14.1%","±3.9","1,731","±614","9.4%","±3.3","3,569","±949","12.4%","±3.2","3,581","±919","15.2%","±3.7","2,828","±810","15.5%","±4.1"
"        $200,000 or more","4,992","±1,317","17.5%","±4.6","6,169","±1,242","19.9%","±3.8","2,130","±797","11.6%","±4.2","4,334","±942","15.1%","±3.0","11,203","±1,213","47.6%","±5.1","6,425","±940","35.2%","±5.6"
"        Median family income (dollars)","95,864","±19,362","(X)","(X)","111,541","±14,843","(X)","(X)","96,308","±14,309","(X)","(X)","92,855","±11,728","(X)","(X)","189,078","±17,896","(X)","(X)","151,086","±19,401","(X)","(X)"
"        Mean family income (dollars)","121,177","±14,234","(X)","(X)","139,609","±13,721","(X)","(X)","105,230","±9,191","(X)","(X)","116,074","±9,779","(X)","(X)","215,869","±14,609","(X)","(X)","179,950","±14,702","(X)","(X)"
"    Per capita income (dollars)","36,202","±3,507","(X)","(X)","46,157","±3,551","(X)","(X)","31,819","±2,608","(X)","(X)","39,609","±3,379","(X)","(X)","67,174","±4,271","(X)","(X)","64,104","±4,855","(X)","(X)"
"    Nonfamily households","8,617","±1,835","8,617","(X)","15,391","±2,545","15,391","(X)","5,481","±1,392","5,481","(X)","11,336","±2,186","11,336","(X)","6,141","±1,342","6,141","(X)","12,788","±1,992","12,788","(X)"
"        Median nonfamily income (dollars)","36,112","±11,535","(X)","(X)","62,402","±10,110","(X)","(X)","55,954","±21,197","(X)","(X)","57,216","±7,828","(X)","(X)","100,005","±14,288","(X)","(X)","72,389","±11,637","(X)","(X)"
"        Mean nonfamily income (dollars)","55,648","±11,348","(X)","(X)","81,842","±10,607","(X)","(X)","58,069","±9,677","(X)","(X)","85,143","±16,377","(X)","(X)","112,967","±17,787","(X)","(X)","89,674","±8,568","(X)","(X)"
"    Median earnings for workers (dollars)","45,496","±4,223","(X)","(X)","54,558","±5,960","(X)","(X)","38,524","±5,059","(X)","(X)","43,801","±5,065","(X)","(X)","91,022","±8,361","(X)","(X)","66,318","±4,355","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","66,513","±9,000","(X)","(X)","70,220","±9,460","(X)","(X)","51,897","±3,877","(X)","(X)","73,432","±8,850","(X)","(X)","152,086","±14,119","(X)","(X)","122,202","±16,485","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","62,647","±14,077","(X)","(X)","71,173","±5,371","(X)","(X)","48,666","±7,947","(X)","(X)","60,028","±6,465","(X)","(X)","92,659","±14,334","(X)","(X)","78,103","±14,844","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian noninstitutionalized population","114,419","±412","114,419","(X)","123,569","±431","123,569","(X)","76,198","±378","76,198","(X)","114,921","±290","114,921","(X)","86,933","±43","86,933","(X)","68,713","±585","68,713","(X)"
"        With health insurance coverage","105,602","±2,623","92.3%","±2.3","116,382","±2,318","94.2%","±1.9","70,800","±1,628","92.9%","±2.2","108,817","±1,992","94.7%","±1.7","84,679","±1,312","97.4%","±1.5","67,722","±930","98.6%","±1.0"
"            With private health insurance","74,052","±5,093","64.7%","±4.5","81,047","±4,734","65.6%","±3.8","45,450","±3,730","59.6%","±4.9","67,681","±5,164","58.9%","±4.5","76,426","±2,181","87.9%","±2.5","58,005","±2,623","84.4%","±3.8"
"            With public coverage","46,287","±5,888","40.5%","±5.1","49,584","±4,619","40.1%","±3.7","32,287","±3,782","42.4%","±5.0","54,448","±4,927","47.4%","±4.3","14,699","±2,770","16.9%","±3.2","23,499","±3,314","34.2%","±4.8"
"        No health insurance coverage","8,817","±2,664","7.7%","±2.3","7,187","±2,308","5.8%","±1.9","5,398","±1,704","7.1%","±2.2","6,104","±1,936","5.3%","±1.7","2,254","±1,309","2.6%","±1.5","991","±690","1.4%","±1.0"
"    Civilian noninstitutionalized population under 19 years","30,496","±3,407","30,496","(X)","26,900","±3,197","26,900","(X)","16,999","±2,148","16,999","(X)","27,159","±2,975","27,159","(X)","26,019","±2,137","26,019","(X)","13,483","±2,033","13,483","(X)"
"        No health insurance coverage","2,614","±1,384","8.6%","±4.5","549","±614","2.0%","±2.3","529","±454","3.1%","±2.6","773","±538","2.8%","±1.9","701","±696","2.7%","±2.7","34","±59","0.3%","±0.4"
"    Civilian noninstitutionalized population 19 to 64 years","68,748","±3,426","68,748","(X)","76,292","±2,730","76,292","(X)","50,168","±2,214","50,168","(X)","69,824","±2,875","69,824","(X)","50,128","±1,821","50,128","(X)","37,270","±2,085","37,270","(X)"
"        In labor force:","52,607","±3,224","52,607","(X)","60,273","±3,098","60,273","(X)","40,234","±2,236","40,234","(X)","55,678","±3,313","55,678","(X)","40,868","±2,058","40,868","(X)","30,845","±2,247","30,845","(X)"
"            Employed:","48,353","±3,145","48,353","(X)","56,418","±3,299","56,418","(X)","35,828","±2,354","35,828","(X)","50,325","±3,578","50,325","(X)","39,285","±2,055","39,285","(X)","30,008","±2,372","30,008","(X)"
"                With health insurance coverage","44,476","±3,085","92.0%","±2.9","51,633","±3,920","91.5%","±3.1","33,630","±2,491","93.9%","±2.7","47,573","±3,589","94.5%","±2.4","38,097","±1,864","97.0%","±1.9","29,352","±2,248","97.8%","±2.0"
"                    With private health insurance","38,278","±3,642","79.2%","±5.0","44,105","±3,935","78.2%","±4.1","27,720","±2,874","77.4%","±5.4","38,659","±3,641","76.8%","±3.9","37,062","±1,925","94.3%","±2.3","27,806","±2,496","92.7%","±3.6"
"                    With public coverage","8,866","±2,143","18.3%","±4.6","8,963","±1,830","15.9%","±3.2","7,224","±1,713","20.2%","±4.9","11,234","±2,290","22.3%","±4.4","2,145","±890","5.5%","±2.3","2,341","±1,011","7.8%","±3.4"
"                No health insurance coverage","3,877","±1,460","8.0%","±2.9","4,785","±1,670","8.5%","±3.1","2,198","±959","6.1%","±2.7","2,752","±1,222","5.5%","±2.4","1,188","±784","3.0%","±1.9","656","±617","2.2%","±2.0"
"            Unemployed:","4,254","±1,430","4,254","(X)","3,855","±1,223","3,855","(X)","4,406","±1,247","4,406","(X)","5,353","±1,628","5,353","(X)","1,583","±519","1,583","(X)","837","±459","837","(X)"
