"Label (Grouping)","San Francisco city, California!!Estimate","San Francisco city, California!!Margin of Error","San Francisco city, California!!Percent","San Francisco city, California!!Percent Margin of Error"
"        Other services, except public administration","17,652","±2,438","3.9%","±0.5"
"        Public administration","16,732","±2,450","3.7%","±0.6"
"CLASS OF WORKER","","","",""
"    Civilian employed population 16 years and over","448,416","±7,372","448,416","(X)"
"        Private wage and salary workers","353,183","±8,507","78.8%","±1.3"
"        Government workers","64,546","±5,603","14.4%","±1.2"
"        Self-employed in own not incorporated business workers","30,288","±3,719","6.8%","±0.8"
"        Unpaid family workers","399","±368","0.1%","±0.1"
"INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Total households","350,796","±5,380","350,796","(X)"
"        Less than $10,000","20,312","±2,699","5.8%","±0.8"
"        $10,000 to $14,999","15,585","±2,586","4.4%","±0.7"
"        $15,000 to $24,999","19,619","±2,860","5.6%","±0.8"
"        $25,000 to $34,999","14,425","±2,192","4.1%","±0.6"
"        $35,000 to $49,999","21,190","±2,468","6.0%","±0.7"
"        $50,000 to $74,999","32,551","±3,048","9.3%","±0.9"
"        $75,000 to $99,999","26,598","±2,452","7.6%","±0.7"
"        $100,000 to $149,999","52,042","±4,190","14.8%","±1.1"
"        $150,000 to $199,999","38,480","±3,955","11.0%","±1.1"
"        $200,000 or more","109,994","±5,190","31.4%","±1.4"
"        Median household income (dollars)","121,826","±5,224","(X)","(X)"
"        Mean household income (dollars)","181,909","±5,975","(X)","(X)"
"        With earnings","278,979","±5,506","79.5%","±1.0"
"            Mean earnings (dollars)","193,549","±6,197","(X)","(X)"
"        With Social Security","89,764","±3,208","25.6%","±0.8"
"            Mean Social Security income (dollars)","19,934","±849","(X)","(X)"
"        With retirement income","63,887","±3,571","18.2%","±1.0"
"            Mean retirement income (dollars)","33,796","±2,611","(X)","(X)"
"        With Supplemental Security Income","24,698","±2,614","7.0%","±0.7"
"            Mean Supplemental Security Income (dollars)","9,429","±519","(X)","(X)"
"        With cash public assistance income","18,559","±2,464","5.3%","±0.7"
"            Mean cash public assistance income (dollars)","8,042","±1,136","(X)","(X)"
"        With Food Stamp/SNAP benefits in the past 12 months","41,527","±3,212","11.8%","±0.9"
"    Families","170,287","±5,222","170,287","(X)"
"        Less than $10,000","4,899","±1,155","2.9%","±0.7"
"        $10,000 to $14,999","2,964","±1,046","1.7%","±0.6"
"        $15,000 to $24,999","7,937","±1,542","4.7%","±0.9"
"        $25,000 to $34,999","5,581","±1,295","3.3%","±0.8"
"        $35,000 to $49,999","8,151","±1,838","4.8%","±1.1"
"        $50,000 to $74,999","15,794","±2,204","9.3%","±1.3"
"        $75,000 to $99,999","13,374","±1,928","7.9%","±1.1"
"        $100,000 to $149,999","26,213","±2,621","15.4%","±1.4"
"        $150,000 to $199,999","18,132","±2,182","10.6%","±1.2"
"        $200,000 or more","67,242","±3,629","39.5%","±1.9"
"        Median family income (dollars)","150,429","±6,983","(X)","(X)"
"        Mean family income (dollars)","224,909","±9,512","(X)","(X)"
"    Per capita income (dollars)","80,383","±2,512","(X)","(X)"
"    Nonfamily households","180,509","±5,280","180,509","(X)"
"        Median nonfamily income (dollars)","91,445","±6,208","(X)","(X)"
"        Mean nonfamily income (dollars)","136,860","±7,109","(X)","(X)"
"    Median earnings for workers (dollars)","76,010","±2,544","(X)","(X)"
"    Median earnings for male full-time, year-round workers (dollars)","120,209","±9,530","(X)","(X)"
"    Median earnings for female full-time, year-round workers (dollars)","97,583","±4,946","(X)","(X)"
"HEALTH INSURANCE COVERAGE","","","",""
"    Civilian noninstitutionalized population","811,674","±1,054","811,674","(X)"
"        With health insurance coverage","786,477","±4,285","96.9%","±0.5"
"            With private health insurance","609,378","±9,178","75.1%","±1.1"
"            With public coverage","265,521","±8,855","32.7%","±1.1"
"        No health insurance coverage","25,197","±4,127","3.1%","±0.5"
"    Civilian noninstitutionalized population under 19 years","121,895","±1,220","121,895","(X)"
"        No health insurance coverage","2,783","±1,387","2.3%","±1.1"
"    Civilian noninstitutionalized population 19 to 64 years","548,993","±1,364","548,993","(X)"
"        In labor force:","456,445","±5,570","456,445","(X)"
"            Employed:","419,108","±6,872","419,108","(X)"
"                With health insurance coverage","407,932","±6,779","97.3%","±0.6"
"                    With private health insurance","380,288","±7,958","90.7%","±1.1"
"                    With public coverage","36,095","±4,435","8.6%","±1.1"
"                No health insurance coverage","11,176","±2,378","2.7%","±0.6"
"            Unemployed:","37,337","±4,184","37,337","(X)"
"                With health insurance coverage","32,878","±3,702","88.1%","±3.6"
"                    With private health insurance","18,067","±2,567","48.4%","±5.2"
"                    With public coverage","16,179","±2,570","43.3%","±5.0"
"                No health insurance coverage","4,459","±1,503","11.9%","±3.6"
"        Not in labor force:","92,548","±5,450","92,548","(X)"
"            With health insurance coverage","86,384","±5,461","93.3%","±2.0"
"                With private health insurance","48,415","±3,280","52.3%","±2.9"
"                With public coverage","42,746","±4,386","46.2%","±3.0"
"            No health insurance coverage","6,164","±1,866","6.7%","±2.0"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","",""
"    All families","(X)","(X)","6.7%","±1.1"
"        With related children of the householder under 18 years","(X)","(X)","8.7%","±2.0"
"            With related children of the householder under 5 years only","(X)","(X)","5.3%","±2.7"
"        Married couple families","(X)","(X)","3.7%","±0.9"
"            With related children of the householder under 18 years","(X)","(X)","4.6%","±1.7"
"                With related children of the householder under 5 years only","(X)","(X)","2.2%","±1.9"
"        Families with female householder, no spouse present","(X)","(X)","18.4%","±3.8"
"            With related children of the householder under 18 years","(X)","(X)","20.0%","±5.8"
"                With related children of the householder under 5 years only","(X)","(X)","26.4%","±20.1"
"    All people","(X)","(X)","11.3%","±0.9"
"        Under 18 years","(X)","(X)","10.6%","±2.3"
"            Related children of the householder under 18 years","(X)","(X)","10.4%","±2.4"
"                Related children of the householder under 5 years","(X)","(X)","8.6%","±3.5"
"                Related children of the householder 5 to 17 years","(X)","(X)","11.1%","±2.7"
"        18 years and over","(X)","(X)","11.5%","±0.8"
"            18 to 64 years","(X)","(X)","10.4%","±0.9"
"            65 years and over","(X)","(X)","15.6%","±2.1"
"        People in families","(X)","(X)","7.0%","±1.1"
"        Unrelated individuals 15 years and over","(X)","(X)","19.4%","±1.5"
