"Label (Grouping)","Napa city, California!!Estimate","Napa city, California!!Margin of Error","Napa city, California!!Percent","Napa city, California!!Percent Margin of Error"
"        Elementary school (grades 1-8)","7,228","±1,036","41.5%","±5.4"
"        High school (grades 9-12)","3,865","±609","22.2%","±3.4"
"        College or graduate school","4,980","±1,184","28.6%","±5.9"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","55,826","±1,301","55,826","(X)"
"        Less than 9th grade","6,908","±1,499","12.4%","±2.7"
"        9th to 12th grade, no diploma","2,593","±835","4.6%","±1.5"
"        High school graduate (includes equivalency)","10,262","±1,599","18.4%","±2.8"
"        Some college, no degree","10,814","±1,587","19.4%","±2.8"
"        Associate's degree","5,436","±984","9.7%","±1.8"
"        Bachelor's degree","12,315","±1,477","22.1%","±2.5"
"        Graduate or professional degree","7,498","±1,088","13.4%","±2.0"
"        High school graduate or higher","46,325","±2,002","83.0%","±2.6"
"        Bachelor's degree or higher","19,813","±1,721","35.5%","±2.9"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","62,435","±1,300","62,435","(X)"
"        Civilian veterans","2,858","±704","4.6%","±1.1"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","",""
"    Total Civilian Noninstitutionalized Population","78,477","±174","78,477","(X)"
"        With a disability","9,218","±1,465","11.7%","±1.9"
"    Under 18 years","16,377","±1,301","16,377","(X)"
"        With a disability","436","±311","2.7%","±1.9"
"    18 to 64 years","47,936","±1,493","47,936","(X)"
"        With a disability","3,555","±794","7.4%","±1.7"
"    65 years and over","14,164","±1,363","14,164","(X)"
"        With a disability","5,227","±1,091","36.9%","±6.4"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","78,040","±569","78,040","(X)"
"        Same house","71,311","±2,095","91.4%","±2.5"
"        Different house (in the U.S. or abroad)","6,729","±1,931","8.6%","±2.5"
"            Different house in the U.S.","6,475","±1,892","8.3%","±2.4"
"                Same county","2,906","±1,409","3.7%","±1.8"
"                Different county","3,569","±1,430","4.6%","±1.8"
"                    Same state","3,440","±1,429","4.4%","±1.8"
"                    Different state","129","±157","0.2%","±0.2"
"            Abroad","254","±365","0.3%","±0.5"
"PLACE OF BIRTH","","","",""
"    Total population","78,824","±31","78,824","(X)"
"        Native","60,941","±2,381","77.3%","±3.0"
"            Born in United States","59,875","±2,381","76.0%","±3.0"
"                State of residence","45,917","±2,517","58.3%","±3.2"
"                Different state","13,958","±1,693","17.7%","±2.1"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","1,066","±486","1.4%","±0.6"
"        Foreign born","17,883","±2,386","22.7%","±3.0"
"U.S. CITIZENSHIP STATUS","","","",""
"    Foreign-born population","17,883","±2,386","17,883","(X)"
"        Naturalized U.S. citizen","8,366","±1,824","46.8%","±8.7"
"        Not a U.S. citizen","9,517","±2,110","53.2%","±8.7"
"YEAR OF ENTRY","","","",""
"    Population born outside the United States","18,949","±2,387","18,949","(X)"
"        Native","1,066","±486","1,066","(X)"
"            Entered 2010 or later","197","±254","18.5%","±21.9"
"            Entered before 2010","869","±434","81.5%","±21.9"
"        Foreign born","17,883","±2,386","17,883","(X)"
"            Entered 2010 or later","3,214","±1,591","18.0%","±8.1"
"            Entered before 2010","14,669","±2,218","82.0%","±8.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","",""
"    Foreign-born population, excluding population born at sea","N","N","N","N"
"        Europe","N","N","N","N"
"        Asia","N","N","N","N"
"        Africa","N","N","N","N"
"        Oceania","N","N","N","N"
"        Latin America","N","N","N","N"
"        Northern America","N","N","N","N"
"LANGUAGE SPOKEN AT HOME","","","",""
"    Population 5 years and over","74,677","±594","74,677","(X)"
"        English only","48,479","±2,989","64.9%","±4.0"
"        Language other than English","26,198","±3,001","35.1%","±4.0"
"            Speak English less than ""very well""","13,426","±2,127","18.0%","±2.8"
"        Spanish","23,430","±2,803","31.4%","±3.8"
"            Speak English less than ""very well""","12,503","±2,056","16.7%","±2.8"
"        Other Indo-European languages","1,693","±764","2.3%","±1.0"
"            Speak English less than ""very well""","384","±338","0.5%","±0.5"
"        Asian and Pacific Islander languages","1,032","±457","1.4%","±0.6"
"            Speak English less than ""very well""","496","±299","0.7%","±0.4"
"        Other languages","43","±75","0.1%","±0.1"
"            Speak English less than ""very well""","43","±75","0.1%","±0.1"
"ANCESTRY","","","",""
"    Total population","78,824","±31","78,824","(X)"
"        American","1,814","±1,065","2.3%","±1.4"
"        Arab","293","±211","0.4%","±0.3"
"        Czech","315","±319","0.4%","±0.4"
"        Danish","489","±224","0.6%","±0.3"
"        Dutch","358","±296","0.5%","±0.4"
"        English","7,349","±1,606","9.3%","±2.0"
"        French (except Basque)","1,061","±437","1.3%","±0.6"
"        French Canadian","93","±110","0.1%","±0.1"
"        German","9,750","±1,777","12.4%","±2.3"
"        Greek","181","±174","0.2%","±0.2"
"        Hungarian","67","±105","0.1%","±0.1"
"        Irish","7,746","±1,433","9.8%","±1.8"
"        Italian","2,595","±830","3.3%","±1.1"
"        Lithuanian","119","±158","0.2%","±0.2"
"        Norwegian","808","±447","1.0%","±0.6"
"        Polish","1,424","±742","1.8%","±0.9"
"        Portuguese","502","±343","0.6%","±0.4"
"        Russian","668","±478","0.8%","±0.6"
"        Scotch-Irish","314","±205","0.4%","±0.3"
"        Scottish","1,170","±504","1.5%","±0.6"
"        Slovak","0","±218","0.0%","±0.2"
"        Subsaharan African","275","±300","0.3%","±0.4"
"        Swedish","979","±424","1.2%","±0.5"
"        Swiss","0","±218","0.0%","±0.2"
"        Ukrainian","193","±241","0.2%","±0.3"
"        Welsh","281","±174","0.4%","±0.2"
"        West Indian (excluding Hispanic origin groups)","89","±141","0.1%","±0.2"
"COMPUTERS AND INTERNET USE","","","",""
"    Total households","30,418","±1,079","30,418","(X)"
"        With a computer","29,178","±1,126","95.9%","±1.8"
"        With a broadband Internet subscription","28,655","±1,139","94.2%","±2.1"
