"Label (Grouping)","Corte Madera town; California!!Total population!!Estimate","Corte Madera town; California!!Total population!!Margin of Error","Corte Madera town; California!!Total population!!Percent","Corte Madera town; California!!Total population!!Percent Margin of Error","Fairfax town; California!!Total population!!Estimate","Fairfax town; California!!Total population!!Margin of Error","Fairfax town; California!!Total population!!Percent","Fairfax town; California!!Total population!!Percent Margin of Error","Larkspur city; California!!Total population!!Estimate","Larkspur city; California!!Total population!!Margin of Error","Larkspur city; California!!Total population!!Percent","Larkspur city; California!!Total population!!Percent Margin of Error","Mill Valley city; California!!Total population!!Estimate","Mill Valley city; California!!Total population!!Margin of Error","Mill Valley city; California!!Total population!!Percent","Mill Valley city; California!!Total population!!Percent Margin of Error","Novato city; California!!Total population!!Estimate","Novato city; California!!Total population!!Margin of Error","Novato city; California!!Total population!!Percent","Novato city; California!!Total population!!Percent Margin of Error","San Anselmo town; California!!Total population!!Estimate","San Anselmo town; California!!Total population!!Margin of Error","San Anselmo town; California!!Total population!!Percent","San Anselmo town; California!!Total population!!Percent Margin of Error","San Rafael city; California!!Total population!!Estimate","San Rafael city; California!!Total population!!Margin of Error","San Rafael city; California!!Total population!!Percent","San Rafael city; California!!Total population!!Percent Margin of Error","Sausalito city; California!!Total population!!Estimate","Sausalito city; California!!Total population!!Margin of Error","Sausalito city; California!!Total population!!Percent","Sausalito city; California!!Total population!!Percent Margin of Error","Tiburon town; California!!Total population!!Estimate","Tiburon town; California!!Total population!!Margin of Error","Tiburon town; California!!Total population!!Percent","Tiburon town; California!!Total population!!Percent Margin of Error"
"        Now married, except separated","2,104","±215","53.5%","±6.0","1,548","±252","43.9%","±7.4","2,502","±209","42.2%","±4.1","3,229","±263","51.3%","±5.2","11,429","±598","51.2%","±2.7","2,623","±192","48.5%","±4.7","11,464","±653","43.3%","±2.8","1,330","±187","34.2%","±5.4","2,328","±200","59.9%","±6.3"
"        Separated","40","±50","1.0%","±1.2","15","±25","0.4%","±0.7","97","±67","1.6%","±1.1","44","±35","0.7%","±0.5","323","±145","1.4%","±0.6","48","±55","0.9%","±1.0","675","±266","2.5%","±1.0","15","±21","0.4%","±0.5","12","±20","0.3%","±0.5"
"        Widowed","243","±137","6.2%","±3.3","252","±111","7.2%","±3.1","465","±148","7.8%","±2.4","444","±140","7.0%","±2.2","1,724","±341","7.7%","±1.5","209","±103","3.9%","±1.9","2,185","±308","8.2%","±1.1","571","±214","14.7%","±5.2","365","±210","9.4%","±5.1"
"        Divorced","739","±205","18.8%","±5.1","466","±167","13.2%","±4.6","1,319","±290","22.2%","±4.7","1,075","±270","17.1%","±3.8","3,050","±462","13.7%","±2.0","915","±215","16.9%","±3.7","4,086","±528","15.4%","±1.9","700","±207","18.0%","±5.2","371","±149","9.5%","±3.9"
"FERTILITY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","135","±115","135","(X)","159","±97","159","(X)","134","±74","134","(X)","76","±65","76","(X)","527","±227","527","(X)","83","±56","83","(X)","662","±218","662","(X)","101","±64","101","(X)","77","±61","77","(X)"
"        Unmarried women (widowed, divorced, and never married)","44","±46","32.6%","±40.9","75","±90","47.2%","±40.5","10","±23","7.5%","±17.5","30","±47","39.5%","±43.5","33","±44","6.3%","±8.7","15","±23","18.1%","±24.4","212","±170","32.0%","±19.7","23","±29","22.8%","±26.1","0","±19","0.0%","±37.5"
"            Per 1,000 unmarried women","65","±68","(X)","(X)","80","±90","(X)","(X)","7","±17","(X)","(X)","19","±29","(X)","(X)","6","±8","(X)","(X)","10","±15","(X)","(X)","29","±23","(X)","(X)","23","±31","(X)","(X)","0","±54","(X)","(X)"
"        Per 1,000 women 15 to 50 years old","82","±68","(X)","(X)","99","±59","(X)","(X)","52","±29","(X)","(X)","25","±21","(X)","(X)","53","±23","(X)","(X)","31","±21","(X)","(X)","51","±16","(X)","(X)","74","±53","(X)","(X)","47","±37","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","0","±166","(X)","(X)","0","±155","(X)","(X)","0","±142","(X)","(X)","0","±78","(X)","(X)","16","±25","(X)","(X)","0","±93","(X)","(X)","0","±22","(X)","(X)","0","±582","(X)","(X)","0","±100","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","275","±228","(X)","(X)","22","±30","(X)","(X)","99","±72","(X)","(X)","28","±34","(X)","(X)","65","±40","(X)","(X)","22","±29","(X)","(X)","63","±28","(X)","(X)","13","±23","(X)","(X)","112","±137","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","25","±30","(X)","(X)","177","±107","(X)","(X)","33","±35","(X)","(X)","30","±32","(X)","(X)","55","±30","(X)","(X)","46","±38","(X)","(X)","55","±22","(X)","(X)","140","±99","(X)","(X)","51","±54","(X)","(X)"
"GRANDPARENTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","0","±21","0","(X)","64","±58","64","(X)","69","±56","69","(X)","120","±85","120","(X)","720","±295","720","(X)","179","±119","179","(X)","638","±214","638","(X)","52","±70","52","(X)","57","±92","57","(X)"
"        Grandparents responsible for grandchildren","0","±21","-","**","22","±26","34.4%","±41.7","35","±40","50.7%","±42.1","29","±49","24.2%","±36.1","171","±98","23.8%","±13.5","128","±105","71.5%","±32.4","274","±148","42.9%","±17.3","0","±19","0.0%","±45.6","0","±19","0.0%","±43.6"
"        Years responsible for grandchildren","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Less than 1 year","0","±21","-","**","0","±19","0.0%","±41.1","0","±21","0.0%","±39.6","0","±21","0.0%","±27.7","92","±79","12.8%","±11.0","0","±21","0.0%","±19.9","5","±14","0.8%","±2.2","0","±19","0.0%","±45.6","0","±19","0.0%","±43.6"
"            1 or 2 years","0","±21","-","**","9","±16","14.1%","±27.1","0","±21","0.0%","±39.6","0","±21","0.0%","±27.7","10","±23","1.4%","±3.0","8","±15","4.5%","±9.6","0","±31","0.0%","±6.1","0","±19","0.0%","±45.6","0","±19","0.0%","±43.6"
"            3 or 4 years","0","±21","-","**","0","±19","0.0%","±41.1","0","±21","0.0%","±39.6","0","±21","0.0%","±27.7","26","±29","3.6%","±4.4","13","±21","7.3%","±14.1","0","±31","0.0%","±6.1","0","±19","0.0%","±45.6","0","±19","0.0%","±43.6"
"            5 or more years","0","±21","-","**","13","±20","20.3%","±31.3","35","±40","50.7%","±42.1","29","±49","24.2%","±36.1","43","±48","6.0%","±6.8","107","±102","59.8%","±36.7","269","±147","42.2%","±17.3","0","±19","0.0%","±45.6","0","±19","0.0%","±43.6"
"    Number of grandparents responsible for own grandchildren under 18 years","0","±21","0","(X)","22","±26","22","(X)","35","±40","35","(X)","29","±49","29","(X)","171","±98","171","(X)","128","±105","128","(X)","274","±148","274","(X)","0","±19","0","(X)","0","±19","0","(X)"
"        Who are female","0","±21","-","**","17","±22","77.3%","±32.3","35","±40","100.0%","±55.6","14","±24","48.3%","±6.2","97","±61","56.7%","±32.1","81","±69","63.3%","±24.8","111","±68","40.5%","±11.9","0","±19","-","**","0","±19","-","**"
"        Who are married","0","±21","-","**","9","±16","40.9%","±59.1","0","±21","0.0%","±55.6","29","±49","100.0%","±61.1","105","±90","61.4%","±29.7","66","±90","51.6%","±46.8","211","±129","77.0%","±20.6","0","±19","-","**","0","±19","-","**"
"SCHOOL ENROLLMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 3 years and over enrolled in school","2,985","±309","2,985","(X)","1,429","±251","1,429","(X)","2,685","±343","2,685","(X)","3,519","±414","3,519","(X)","10,796","±813","10,796","(X)","3,391","±395","3,391","(X)","14,817","±911","14,817","(X)","752","±254","752","(X)","2,289","±405","2,289","(X)"
"        Nursery school, preschool","277","±116","9.3%","±3.8","105","±70","7.3%","±4.3","245","±111","9.1%","±4.1","243","±114","6.9%","±3.2","394","±136","3.6%","±1.3","300","±169","8.8%","±4.4","808","±239","5.5%","±1.6","31","±37","4.1%","±5.1","182","±126","8.0%","±5.3"
"        Kindergarten","307","±160","10.3%","±5.4","59","±59","4.1%","±4.2","27","±38","1.0%","±1.4","150","±69","4.3%","±1.9","698","±242","6.5%","±2.2","227","±100","6.7%","±3.2","923","±267","6.2%","±1.8","22","±30","2.9%","±4.0","0","±19","0.0%","±1.7"
"        Elementary school (grades 1-8)","1,233","±320","41.3%","±9.2","393","±107","27.5%","±6.8","1,244","±245","46.3%","±7.0","1,308","±278","37.2%","±6.8","4,355","±568","40.3%","±4.2","1,336","±370","39.4%","±8.6","5,685","±504","38.4%","±3.7","239","±107","31.8%","±13.1","1,066","±316","46.6%","±11.1"
"        High school (grades 9-12)","501","±143","16.8%","±4.9","476","±145","33.3%","±8.7","538","±191","20.0%","±6.4","1,213","±221","34.5%","±5.7","2,779","±366","25.7%","±3.3","873","±218","25.7%","±7.2","2,908","±477","19.6%","±2.7","61","±40","8.1%","±6.0","579","±188","25.3%","±9.0"
"        College or graduate school","667","±259","22.3%","±8.2","396","±175","27.7%","±10.4","631","±171","23.5%","±5.5","605","±224","17.2%","±5.5","2,570","±456","23.8%","±3.3","655","±207","19.3%","±5.7","4,493","±598","30.3%","±2.8","399","±224","53.1%","±18.5","462","±241","20.2%","±8.9"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over","6,735","±328","6,735","(X)","5,900","±294","5,900","(X)","10,010","±361","10,010","(X)","10,520","±425","10,520","(X)","39,449","±739","39,449","(X)","8,945","±330","8,945","(X)","43,941","±898","43,941","(X)","6,434","±342","6,434","(X)","6,720","±386","6,720","(X)"
"        Less than 9th grade","19","±31","0.3%","±0.5","26","±28","0.4%","±0.5","263","±147","2.6%","±1.5","50","±47","0.5%","±0.5","2,147","±539","5.4%","±1.3","51","±77","0.6%","±0.9","4,109","±627","9.4%","±1.4","164","±176","2.5%","±2.7","23","±30","0.3%","±0.4"
"        9th to 12th grade, no diploma","0","±21","0.0%","±0.6","125","±97","2.1%","±1.6","101","±92","1.0%","±0.9","77","±82","0.7%","±0.8","1,201","±293","3.0%","±0.7","137","±81","1.5%","±0.9","1,864","±381","4.2%","±0.9","2","±5","0.0%","±0.1","50","±65","0.7%","±1.0"
"        High school graduate (includes equivalency)","613","±240","9.1%","±3.4","452","±146","7.7%","±2.5","783","±221","7.8%","±2.2","791","±291","7.5%","±2.7","5,911","±639","15.0%","±1.6","652","±211","7.3%","±2.3","4,862","±615","11.1%","±1.3","235","±117","3.7%","±1.8","328","±151","4.9%","±2.2"
"        Some college, no degree","819","±269","12.2%","±3.8","992","±239","16.8%","±4.1","1,202","±349","12.0%","±3.4","1,160","±229","11.0%","±2.2","8,294","±622","21.0%","±1.6","1,106","±271","12.4%","±2.9","8,200","±677","18.7%","±1.4","1,044","±276","16.2%","±4.1","835","±401","12.4%","±5.8"
"        Associate's degree","294","±118","4.4%","±1.7","420","±156","7.1%","±2.6","517","±176","5.2%","±1.7","508","±185","4.8%","±1.7","3,558","±435","9.0%","±1.1","533","±149","6.0%","±1.7","2,743","±392","6.2%","±0.9","428","±179","6.7%","±2.7","271","±124","4.0%","±1.8"
"        Bachelor's degree","2,568","±389","38.1%","±5.7","2,232","±349","37.8%","±5.4","3,841","±415","38.4%","±4.4","4,140","±514","39.4%","±4.7","11,688","±684","29.6%","±1.7","3,847","±352","43.0%","±4.3","12,954","±933","29.5%","±2.0","2,283","±333","35.5%","±5.2","2,687","±425","40.0%","±6.1"
"        Graduate or professional degree","2,422","±312","36.0%","±4.9","1,653","±323","28.0%","±5.3","3,303","±471","33.0%","±4.2","3,794","±494","36.1%","±4.4","6,650","±619","16.9%","±1.5","2,619","±403","29.3%","±4.0","9,209","±791","21.0%","±1.8","2,278","±346","35.4%","±5.1","2,526","±374","37.6%","±5.7"
"        High school graduate or higher","6,716","±327","99.7%","±0.5","5,749","±295","97.4%","±1.7","9,646","±396","96.4%","±1.7","10,393","±437","98.8%","±0.9","36,101","±777","91.5%","±1.4","8,757","±359","97.9%","±1.3","37,968","±1,158","86.4%","±1.6","6,268","±351","97.4%","±2.7","6,647","±391","98.9%","±1.1"
"        Bachelor's degree or higher","4,990","±302","74.1%","±4.8","3,885","±346","65.8%","±4.4","7,144","±514","71.4%","±4.6","7,934","±462","75.4%","±3.4","18,338","±766","46.5%","±1.8","6,466","±427","72.3%","±4.1","22,163","±1,138","50.4%","±2.4","4,561","±389","70.9%","±5.6","5,213","±449","77.6%","±6.4"
"VETERAN STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian population 18 years and over","7,453","±353","7,453","(X)","6,470","±240","6,470","(X)","10,600","±289","10,600","(X)","11,226","±330","11,226","(X)","42,978","±657","42,978","(X)","9,705","±364","9,705","(X)","48,892","±641","48,892","(X)","6,699","±151","6,699","(X)","7,250","±301","7,250","(X)"
"        Civilian veterans","149","±85","2.0%","±1.1","227","±131","3.5%","±2.0","409","±150","3.9%","±1.4","425","±145","3.8%","±1.3","2,809","±447","6.5%","±1.0","335","±119","3.5%","±1.2","1,548","±268","3.2%","±0.5","166","±82","2.5%","±1.2","268","±123","3.7%","±1.6"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","10,145","±23","10,145","(X)","7,589","±30","7,589","(X)","12,897","±35","12,897","(X)","14,183","±56","14,183","(X)","53,040","±140","53,040","(X)","12,763","±35","12,763","(X)","60,388","±204","60,388","(X)","7,253","±24","7,253","(X)","9,117","±27","9,117","(X)"
"        With a disability","717","±236","7.1%","±2.3","799","±245","10.5%","±3.2","1,388","±323","10.8%","±2.5","1,096","±251","7.7%","±1.8","5,468","±585","10.3%","±1.1","878","±177","6.9%","±1.4","5,825","±699","9.6%","±1.2","786","±224","10.8%","±3.1","928","±247","10.2%","±2.7"
"    Under 18 years","2,692","±354","2,692","(X)","1,135","±239","1,135","(X)","2,372","±287","2,372","(X)","3,014","±332","3,014","(X)","10,191","±668","10,191","(X)","3,087","±361","3,087","(X)","12,262","±635","12,262","(X)","554","±150","554","(X)","1,896","±299","1,896","(X)"
"        With a disability","107","±78","4.0%","±2.9","0","±19","0.0%","±3.5","14","±21","0.6%","±0.9","9","±19","0.3%","±0.6","262","±146","2.6%","±1.4","144","±81","4.7%","±2.7","347","±165","2.8%","±1.3","0","±19","0.0%","±7.0","24","±35","1.3%","±1.9"
"    18 to 64 years","5,668","±366","5,668","(X)","4,656","±319","4,656","(X)","7,398","±385","7,398","(X)","8,224","±337","8,224","(X)","30,507","±713","30,507","(X)","7,425","±323","7,425","(X)","36,028","±777","36,028","(X)","4,385","±385","4,385","(X)","5,108","±277","5,108","(X)"
"        With a disability","178","±103","3.1%","±1.8","206","±95","4.4%","±2.0","425","±186","5.7%","±2.5","350","±157","4.3%","±1.9","2,414","±392","7.9%","±1.3","331","±136","4.5%","±1.8","2,406","±493","6.7%","±1.4","287","±140","6.5%","±3.1","347","±163","6.8%","±3.1"
"    65 years and over","1,785","±304","1,785","(X)","1,798","±344","1,798","(X)","3,127","±409","3,127","(X)","2,945","±319","2,945","(X)","12,342","±753","12,342","(X)","2,251","±268","2,251","(X)","12,098","±763","12,098","(X)","2,314","±357","2,314","(X)","2,113","±308","2,113","(X)"
"        With a disability","432","±212","24.2%","±10.1","593","±220","33.0%","±12.0","949","±242","30.3%","±6.2","737","±171","25.0%","±5.1","2,792","±430","22.6%","±3.1","403","±122","17.9%","±5.3","3,072","±495","25.4%","±3.7","499","±176","21.6%","±7.4","557","±178","26.4%","±6.6"
"RESIDENCE 1 YEAR AGO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over","9,935","±172","9,935","(X)","7,461","±110","7,461","(X)","12,844","±86","12,844","(X)","14,194","±60","14,194","(X)","52,670","±248","52,670","(X)","12,713","±70","12,713","(X)","60,664","±207","60,664","(X)","7,152","±81","7,152","(X)","9,086","±54","9,086","(X)"
