"Label (Grouping)","Milpitas city, California!!Estimate","Milpitas city, California!!Margin of Error","Milpitas city, California!!Percent","Milpitas city, California!!Percent Margin of Error","Mountain View city, California!!Estimate","Mountain View city, California!!Margin of Error","Mountain View city, California!!Percent","Mountain View city, California!!Percent Margin of Error","Palo Alto city, California!!Estimate","Palo Alto city, California!!Margin of Error","Palo Alto city, California!!Percent","Palo Alto city, California!!Percent Margin of Error","San Jose city, California!!Estimate","San Jose city, California!!Margin of Error","San Jose city, California!!Percent","San Jose city, California!!Percent Margin of Error","Santa Clara city, California!!Estimate","Santa Clara city, California!!Margin of Error","Santa Clara city, California!!Percent","Santa Clara city, California!!Percent Margin of Error","Sunnyvale city, California!!Estimate","Sunnyvale city, California!!Margin of Error","Sunnyvale city, California!!Percent","Sunnyvale city, California!!Percent Margin of Error"
"        Less than 9th grade","4,105","±1,273","7.2%","±2.2","1,635","±1,019","2.8%","±1.7","1,746","±1,114","3.9%","±2.5","58,090","±4,256","8.4%","±0.6","2,298","±1,010","2.5%","±1.1","4,657","±1,415","4.1%","±1.3"
"        9th to 12th grade, no diploma","2,496","±872","4.4%","±1.5","1,608","±892","2.7%","±1.5","309","±273","0.7%","±0.6","39,552","±3,554","5.7%","±0.5","2,838","±1,076","3.1%","±1.2","2,855","±916","2.5%","±0.8"
"        High school graduate (includes equivalency)","8,130","±1,291","14.2%","±2.2","5,232","±1,277","8.9%","±2.2","1,991","±802","4.4%","±1.8","112,460","±5,763","16.3%","±0.8","8,567","±1,614","9.4%","±1.7","12,141","±1,998","10.7%","±1.7"
"        Some college, no degree","6,892","±1,233","12.1%","±2.1","4,915","±1,130","8.3%","±1.9","2,846","±831","6.3%","±1.8","112,588","±5,786","16.3%","±0.8","10,318","±1,906","11.4%","±2.1","11,607","±1,956","10.3%","±1.7"
"        Associate's degree","4,274","±1,010","7.5%","±1.8","1,738","±605","2.9%","±1.0","1,880","±1,166","4.1%","±2.5","51,995","±4,212","7.5%","±0.6","6,916","±1,719","7.6%","±1.9","5,564","±1,397","4.9%","±1.2"
"        Bachelor's degree","18,853","±1,954","33.0%","±3.2","17,090","±2,142","28.9%","±3.2","12,075","±1,927","26.6%","±3.9","182,869","±7,673","26.4%","±1.0","28,145","±2,560","31.0%","±2.8","33,669","±3,007","29.8%","±2.5"
"        Graduate or professional degree","12,419","±1,498","21.7%","±2.7","26,826","±2,337","45.4%","±3.7","24,480","±2,170","54.0%","±4.0","134,198","±6,507","19.4%","±0.9","31,758","±3,141","35.0%","±3.3","42,497","±3,472","37.6%","±2.8"
"        High school graduate or higher","50,568","±1,920","88.5%","±2.5","55,801","±2,558","94.5%","±2.4","43,272","±2,966","95.5%","±2.6","594,110","±8,598","85.9%","±0.8","85,704","±2,441","94.3%","±1.8","105,478","±3,595","93.4%","±1.4"
"        Bachelor's degree or higher","31,272","±2,132","54.7%","±3.6","43,916","±3,130","74.4%","±4.1","36,555","±2,804","80.6%","±4.3","317,067","±9,486","45.8%","±1.2","59,903","±3,257","65.9%","±3.2","76,166","±3,984","67.4%","±2.9"
"VETERAN STATUS","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian population 18 years and over","61,740","±1,792","61,740","(X)","63,921","±2,137","63,921","(X)","49,851","±2,103","49,851","(X)","774,474","±5,738","774,474","(X)","103,005","±2,558","103,005","(X)","122,135","±3,061","122,135","(X)"
"        Civilian veterans","1,824","±661","3.0%","±1.1","1,240","±333","1.9%","±0.5","1,314","±557","2.6%","±1.1","23,489","±2,336","3.0%","±0.3","2,874","±878","2.8%","±0.8","3,904","±1,262","3.2%","±1.0"
"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total Civilian Noninstitutionalized Population","77,217","±963","77,217","(X)","81,309","±220","81,309","(X)","66,057","±305","66,057","(X)","980,233","±1,231","980,233","(X)","126,848","±333","126,848","(X)","151,099","±586","151,099","(X)"
"        With a disability","7,943","±1,535","10.3%","±2.0","5,187","±1,304","6.4%","±1.6","4,413","±1,142","6.7%","±1.7","95,199","±5,982","9.7%","±0.6","10,668","±1,876","8.4%","±1.5","10,283","±1,900","6.8%","±1.3"
"    Under 18 years","17,171","±1,751","17,171","(X)","17,468","±2,121","17,468","(X)","16,815","±2,096","16,815","(X)","208,700","±5,715","208,700","(X)","24,150","±2,557","24,150","(X)","29,627","±3,029","29,627","(X)"
"        With a disability","260","±178","1.5%","±1.0","318","±262","1.8%","±1.5","0","±218","0.0%","±1.2","8,594","±1,918","4.1%","±0.9","725","±431","3.0%","±1.7","1,011","±887","3.4%","±2.9"
"    18 to 64 years","49,367","±2,133","49,367","(X)","54,531","±2,181","54,531","(X)","38,138","±2,023","38,138","(X)","635,004","±5,353","635,004","(X)","88,470","±2,553","88,470","(X)","101,283","±3,392","101,283","(X)"
"        With a disability","3,516","±1,029","7.1%","±2.0","2,440","±1,068","4.5%","±1.9","1,141","±566","3.0%","±1.5","41,686","±3,882","6.6%","±0.6","5,102","±1,403","5.8%","±1.6","5,233","±1,362","5.2%","±1.4"
"    65 years and over","10,679","±1,427","10,679","(X)","9,310","±1,564","9,310","(X)","11,104","±1,782","11,104","(X)","136,529","±4,799","136,529","(X)","14,228","±2,105","14,228","(X)","20,189","±3,008","20,189","(X)"
"        With a disability","4,167","±1,011","39.0%","±8.1","2,429","±824","26.1%","±7.3","3,272","±1,068","29.5%","±7.4","44,919","±3,450","32.9%","±2.2","4,841","±1,132","34.0%","±6.4","4,039","±1,063","20.0%","±4.8"
"RESIDENCE 1 YEAR AGO","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 1 year and over","78,019","±565","78,019","(X)","80,872","±539","80,872","(X)","66,269","±353","66,269","(X)","974,581","±1,656","974,581","(X)","125,438","±814","125,438","(X)","149,997","±870","149,997","(X)"
"        Same house","66,169","±2,754","84.8%","±3.3","64,660","±2,996","80.0%","±3.5","55,156","±2,274","83.2%","±3.4","851,140","±8,110","87.3%","±0.9","96,368","±4,075","76.8%","±3.1","119,458","±4,841","79.6%","±3.1"
"        Different house (in the U.S. or abroad)","11,850","±2,509","15.2%","±3.3","16,212","±2,763","20.0%","±3.5","11,113","±2,265","16.8%","±3.4","123,441","±8,520","12.7%","±0.9","29,070","±3,907","23.2%","±3.1","30,539","±4,600","20.4%","±3.1"
"            Different house in the U.S.","11,327","±2,406","14.5%","±3.1","15,259","±2,660","18.9%","±3.3","10,051","±2,354","15.2%","±3.5","117,315","±8,560","12.0%","±0.9","26,040","±3,444","20.8%","±2.8","29,361","±4,530","19.6%","±3.0"
"                Same county","9,129","±2,367","11.7%","±3.1","10,961","±2,451","13.6%","±3.1","5,135","±2,411","7.7%","±3.6","88,774","±7,503","9.1%","±0.8","18,109","±3,097","14.4%","±2.5","23,580","±4,241","15.7%","±2.8"
"                Different county","2,198","±1,058","2.8%","±1.4","4,298","±1,344","5.3%","±1.7","4,916","±1,699","7.4%","±2.6","28,541","±3,681","2.9%","±0.4","7,931","±1,763","6.3%","±1.4","5,781","±1,753","3.9%","±1.2"
"                    Same state","1,533","±849","2.0%","±1.1","1,935","±762","2.4%","±0.9","2,113","±1,035","3.2%","±1.6","19,895","±3,261","2.0%","±0.3","4,317","±1,472","3.4%","±1.2","3,895","±1,358","2.6%","±0.9"
"                    Different state","665","±580","0.9%","±0.7","2,363","±1,181","2.9%","±1.5","2,803","±1,216","4.2%","±1.8","8,646","±2,084","0.9%","±0.2","3,614","±1,378","2.9%","±1.1","1,886","±919","1.3%","±0.6"
"            Abroad","523","±531","0.7%","±0.7","953","±650","1.2%","±0.8","1,062","±715","1.6%","±1.1","6,126","±1,627","0.6%","±0.2","3,030","±1,671","2.4%","±1.3","1,178","±724","0.8%","±0.5"
"PLACE OF BIRTH","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","79,074","±37","79,074","(X)","81,517","±31","81,517","(X)","66,666","±51","66,666","(X)","983,530","±135","983,530","(X)","127,155","±38","127,155","(X)","152,258","±37","152,258","(X)"
"        Native","38,057","±2,602","48.1%","±3.3","47,079","±2,624","57.8%","±3.2","42,721","±1,786","64.1%","±2.7","582,734","±8,889","59.2%","±0.9","72,221","±3,959","56.8%","±3.1","76,308","±3,711","50.1%","±2.4"
"            Born in United States","36,833","±2,598","46.6%","±3.3","45,950","±2,706","56.4%","±3.3","40,925","±1,942","61.4%","±2.9","567,410","±8,875","57.7%","±0.9","70,581","±4,046","55.5%","±3.2","74,564","±3,596","49.0%","±2.4"
"                State of residence","29,442","±2,247","37.2%","±2.8","28,923","±2,838","35.5%","±3.5","23,776","±2,553","35.7%","±3.8","470,008","±8,703","47.8%","±0.9","53,559","±3,987","42.1%","±3.1","55,163","±3,546","36.2%","±2.3"
"                Different state","7,391","±1,875","9.3%","±2.4","17,027","±2,346","20.9%","±2.9","17,149","±2,057","25.7%","±3.1","97,402","±5,721","9.9%","±0.6","17,022","±2,390","13.4%","±1.9","19,401","±2,517","12.7%","±1.7"
"            Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","1,224","±574","1.5%","±0.7","1,129","±512","1.4%","±0.6","1,796","±1,020","2.7%","±1.5","15,324","±2,269","1.6%","±0.2","1,640","±930","1.3%","±0.7","1,744","±510","1.1%","±0.3"
"        Foreign born","41,017","±2,600","51.9%","±3.3","34,438","±2,625","42.2%","±3.2","23,945","±1,782","35.9%","±2.7","400,796","±8,897","40.8%","±0.9","54,934","±3,971","43.2%","±3.1","75,950","±3,706","49.9%","±2.4"
"U.S. CITIZENSHIP STATUS","","","","","","","","","","","","","","","","","","","","","","","",""
"    Foreign-born population","41,017","±2,600","41,017","(X)","34,438","±2,625","34,438","(X)","23,945","±1,782","23,945","(X)","400,796","±8,897","400,796","(X)","54,934","±3,971","54,934","(X)","75,950","±3,706","75,950","(X)"
"        Naturalized U.S. citizen","22,721","±2,266","55.4%","±5.2","14,555","±2,291","42.3%","±6.6","13,081","±1,781","54.6%","±7.3","225,920","±7,158","56.4%","±1.5","21,285","±2,738","38.7%","±4.7","30,979","±3,055","40.8%","±3.5"
"        Not a U.S. citizen","18,296","±2,673","44.6%","±5.2","19,883","±2,963","57.7%","±6.6","10,864","±2,097","45.4%","±7.3","174,876","±7,918","43.6%","±1.5","33,649","±3,889","61.3%","±4.7","44,971","±3,448","59.2%","±3.5"
"YEAR OF ENTRY","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population born outside the United States","42,241","±2,597","42,241","(X)","35,567","±2,706","35,567","(X)","25,741","±1,939","25,741","(X)","416,120","±8,880","416,120","(X)","56,574","±4,057","56,574","(X)","77,694","±3,590","77,694","(X)"
"        Native","1,224","±574","1,224","(X)","1,129","±512","1,129","(X)","1,796","±1,020","1,796","(X)","15,324","±2,269","15,324","(X)","1,640","±930","1,640","(X)","1,744","±510","1,744","(X)"
"            Entered 2010 or later","408","±353","33.3%","±27.3","551","±408","48.8%","±24.5","356","±293","19.8%","±15.9","3,670","±1,006","23.9%","±5.1","639","±816","39.0%","±34.6","255","±229","14.6%","±13.2"
"            Entered before 2010","816","±516","66.7%","±27.3","578","±338","51.2%","±24.5","1,440","±917","80.2%","±15.9","11,654","±1,815","76.1%","±5.1","1,001","±479","61.0%","±34.6","1,489","±520","85.4%","±13.2"
"        Foreign born","41,017","±2,600","41,017","(X)","34,438","±2,625","34,438","(X)","23,945","±1,782","23,945","(X)","400,796","±8,897","400,796","(X)","54,934","±3,971","54,934","(X)","75,950","±3,706","75,950","(X)"
"            Entered 2010 or later","14,637","±2,753","35.7%","±5.4","15,954","±2,706","46.3%","±6.6","6,786","±1,728","28.3%","±6.3","104,956","±5,820","26.2%","±1.3","23,859","±3,873","43.4%","±5.4","36,842","±3,777","48.5%","±4.0"
"            Entered before 2010","26,380","±2,073","64.3%","±5.4","18,484","±2,533","53.7%","±6.6","17,159","±1,679","71.7%","±6.3","295,840","±8,565","73.8%","±1.3","31,075","±3,160","56.6%","±5.4","39,108","±3,271","51.5%","±4.0"
"WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","","","","","","","","","","","","","","","","","",""
"    Foreign-born population, excluding population born at sea","N","N","N","N","N","N","N","N","N","N","N","N","400,796","±8,897","400,796","(X)","N","N","N","N","75,950","±3,706","75,950","(X)"
"        Europe","N","N","N","N","N","N","N","N","N","N","N","N","20,341","±2,298","5.1%","±0.6","N","N","N","N","6,982","±1,779","9.2%","±2.2"
"        Asia","N","N","N","N","N","N","N","N","N","N","N","N","265,116","±7,627","66.1%","±1.5","N","N","N","N","56,370","±3,719","74.2%","±3.4"
"        Africa","N","N","N","N","N","N","N","N","N","N","N","N","8,808","±2,147","2.2%","±0.5","N","N","N","N","217","±232","0.3%","±0.3"
"        Oceania","N","N","N","N","N","N","N","N","N","N","N","N","1,442","±802","0.4%","±0.2","N","N","N","N","91","±106","0.1%","±0.1"
"        Latin America","N","N","N","N","N","N","N","N","N","N","N","N","101,432","±6,725","25.3%","±1.5","N","N","N","N","11,186","±2,139","14.7%","±2.7"
"        Northern America","N","N","N","N","N","N","N","N","N","N","N","N","3,657","±1,133","0.9%","±0.3","N","N","N","N","1,104","±669","1.5%","±0.9"
"LANGUAGE SPOKEN AT HOME","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 5 years and over","74,046","±1,195","74,046","(X)","76,487","±1,313","76,487","(X)","63,928","±955","63,928","(X)","932,764","±3,080","932,764","(X)","119,619","±1,552","119,619","(X)","142,441","±2,176","142,441","(X)"
