,City,Total,"    Less than $10,000","    $10,000 to $14,999","    $15,000 to $24,999","    $25,000 to $34,999","    $35,000 to $49,999","    $50,000 to $74,999","    $75,000 to $99,999","    $100,000 to $149,999","    $150,000 to $199,999","    $200,000 or more",Median income (dollars),Mean income (dollars),PERCENT ALLOCATED,    Household income in the past 12 months,    Family income in the past 12 months,    Nonfamily income in the past 12 months,County
0,San Francisco,"350,796",5.8%,4.4%,5.6%,4.1%,6.0%,9.3%,7.6%,14.8%,11.0%,31.4%,"121,826","181,909",,34.7%,(X),(X),San Francisco County
0,Daly City,"32,887",4.1%,5.3%,3.3%,6.2%,5.9%,16.9%,10.1%,21.2%,10.3%,16.7%,"95,424","123,694",,38.2%,(X),(X),San Mateo County
1,Redwood City,"29,450",2.0%,0.3%,3.4%,2.6%,5.8%,10.5%,6.6%,21.3%,10.9%,36.7%,"145,128","219,830",,32.5%,(X),(X),San Mateo County
2,San Mateo,"39,340",4.5%,1.3%,3.2%,2.9%,7.3%,13.1%,8.1%,16.5%,8.3%,34.8%,"129,957","191,726",,32.4%,(X),(X),San Mateo County
0,Milpitas,"23,632",5.6%,1.6%,3.1%,2.5%,3.4%,5.1%,6.2%,15.7%,16.4%,40.3%,"169,460","183,523",,37.7%,(X),(X),Santa Clara County
1,Mountain View,"34,637",1.9%,1.4%,1.6%,5.2%,5.9%,8.8%,4.7%,18.1%,10.1%,42.2%,"157,243","228,465",,27.0%,(X),(X),Santa Clara County
2,Palo Alto,"24,501",2.4%,1.9%,3.7%,1.8%,4.7%,8.2%,6.3%,13.3%,8.1%,49.5%,"195,781","268,748",,30.6%,(X),(X),Santa Clara County
3,San Jose,"322,881",3.0%,2.1%,4.3%,3.9%,6.3%,10.5%,10.5%,16.9%,12.4%,30.3%,"126,377","170,959",,35.5%,(X),(X),Santa Clara County
4,Santa Clara,"49,011",7.5%,1.2%,3.6%,1.9%,3.0%,8.3%,8.9%,14.1%,14.7%,36.9%,"155,238","193,412",,29.8%,(X),(X),Santa Clara County
5,Sunnyvale,"59,567",3.4%,2.0%,1.9%,2.0%,3.9%,10.0%,8.7%,16.3%,14.7%,36.9%,"156,059","208,202",,30.2%,(X),(X),Santa Clara County
0,Fairfield,"38,097",5.5%,1.8%,5.2%,5.4%,8.0%,16.9%,10.7%,25.4%,9.0%,12.0%,"90,346","111,091",,42.5%,(X),(X),Solano County
1,Vacaville,"33,777",2.5%,3.1%,3.6%,4.2%,8.7%,13.5%,15.7%,23.4%,13.3%,12.0%,"97,777","112,874",,35.7%,(X),(X),Solano County
2,Vallejo,"43,906",5.6%,4.7%,7.4%,4.4%,12.1%,14.0%,15.6%,17.1%,11.4%,7.7%,"77,711","100,760",,45.4%,(X),(X),Solano County
0,Santa Rosa,"68,686",5.4%,1.9%,4.9%,6.0%,10.6%,14.5%,12.1%,20.0%,12.5%,12.0%,"86,459","111,487",,35.3%,(X),(X),Sonoma County
