,City,AGE BY EDUCATIONAL ATTAINMENT,    Population 18 to 24 years,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree or higher,    Population 25 years and over,        Less than 9th grade,"        9th to 12th grade, no diploma",        High school graduate (includes equivalency),"        Some college, no degree",        Associate's degree,        Bachelor's degree,        Graduate or professional degree,        High school graduate or higher,        Bachelor's degree or higher,    Population 25 to 34 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 35 to 44 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 45 to 64 years,        High school graduate or higher,        Bachelor's degree or higher,    Population 65 years and over,        High school graduate or higher,        Bachelor's degree or higher,County
5,Novato,,"3,574",359,"1,195","1,403",617,"39,449","2,147","1,201","5,911","8,294","3,558","11,688","6,650","36,101","18,338","4,714","4,381","2,117","5,851","5,157","3,058","16,438","14,817","7,834","12,446","11,746","5,329",Marin County
6,Ross,,148,21,17,42,68,"1,625",14,0,50,156,41,694,670,"1,611","1,364",61,61,61,273,259,259,676,676,581,615,615,463,Marin County
7,San Anselmo,,760,143,163,212,242,"8,945",51,137,652,"1,106",533,"3,847","2,619","8,757","6,466",945,863,603,"1,632","1,632","1,264","4,092","3,999","3,262","2,276","2,263","1,337",Marin County
8,San Rafael,,"4,951",627,"1,352","2,246",726,"43,941","4,109","1,864","4,862","8,200","2,743","12,954","9,209","37,968","22,163","6,227","5,104","2,532","8,295","6,473","4,376","16,953","14,883","8,629","12,466","11,508","6,626",Marin County
9,Sausalito,,272,10,0,103,159,"6,434",164,2,235,"1,044",428,"2,283","2,278","6,268","4,561",996,866,738,714,714,610,"2,410","2,391","1,533","2,314","2,297","1,680",Marin County
10,Tiburon,,530,56,104,288,82,"6,720",23,50,328,835,271,"2,687","2,526","6,647","5,213",341,341,234,"1,112","1,068",897,"3,131","3,108","2,436","2,136","2,130","1,646",Marin County
0,Napa,,"6,609",722,"1,652","3,758",477,"55,826","6,908","2,593","10,262","10,814","5,436","12,315","7,498","46,325","19,813","9,956","8,984","3,631","11,276","8,351","3,890","20,192","16,381","6,802","14,402","12,609","5,490",Napa County
0,San Francisco,,"53,294","2,886","14,517","17,785","18,106","647,880","45,588","24,395","74,318","75,272","33,727","224,159","170,421","577,897","394,580","164,456","160,053","133,386","132,607","124,399","91,750","208,335","183,658","110,952","142,482","109,787","58,492",San Francisco County
0,Daly City,,"10,611","2,053","2,419","4,003","2,136","77,014","4,577","5,271","17,236","15,690","6,365","20,592","7,283","67,166","27,875","14,234","13,320","6,752","13,075","12,056","5,259","26,919","23,276","8,772","22,786","18,514","7,092",San Mateo County
1,Redwood City,,"5,128","1,117",751,"1,394","1,866","60,453","3,698","2,073","10,672","8,158","3,108","16,458","16,286","54,682","32,744","15,481","14,563","9,486","11,213","10,275","7,114","23,728","21,084","13,273","10,031","8,760","2,871",San Mateo County
2,San Mateo,,"6,594",903,"1,385","3,312",994,"75,078","5,971","2,172","8,931","9,410","5,109","23,551","19,934","66,935","43,485","18,652","17,161","12,667","15,088","12,644","9,541","24,466","23,065","14,118","16,872","14,065","7,159",San Mateo County
0,Milpitas,,"4,728",470,"1,284","2,163",811,"57,169","4,105","2,496","8,130","6,892","4,274","18,853","12,419","50,568","31,272","13,806","13,251","9,648","13,846","12,837","10,228","18,812","16,426","8,526","10,705","8,054","2,870",Santa Clara County
1,Mountain View,,"4,999",792,"1,288","1,136","1,783","59,044","1,635","1,608","5,232","4,915","1,738","17,090","26,826","55,801","43,916","17,163","16,697","14,301","15,875","14,554","12,226","16,656","16,202","12,198","9,350","8,348","5,191",Santa Clara County
2,Palo Alto,,N,N,N,N,N,"45,327","1,746",309,"1,991","2,846","1,880","12,075","24,480","43,272","36,555",N,N,N,N,N,N,N,N,N,N,N,N,Santa Clara County
3,San Jose,,"82,826","5,539","24,466","38,097","14,724","691,752","58,090","39,552","112,460","112,588","51,995","182,869","134,198","594,110","317,067","150,188","143,443","82,926","146,317","126,643","76,451","257,314","213,402","110,630","137,933","110,622","47,060",Santa Clara County
4,Santa Clara,,"12,165",402,"2,823","4,811","4,129","90,840","2,298","2,838","8,567","10,318","6,916","28,145","31,758","85,704","59,903","28,460","27,931","23,836","19,160","18,968","15,092","28,732","26,104","14,661","14,488","12,701","6,314",Santa Clara County
5,Sunnyvale,,"9,641",902,"1,795","4,001","2,943","112,990","4,657","2,855","12,141","11,607","5,564","33,669","42,497","105,478","76,166","36,332","35,204","28,159","21,645","20,346","16,698","34,330","32,492","22,161","20,683","17,436","9,148",Santa Clara County
0,Fairfield,,"9,705","1,407","3,550","4,203",545,"77,589","5,398","5,083","18,512","19,658","7,249","13,861","7,828","67,108","21,689","17,233","15,201","3,088","17,000","15,270","5,959","27,275","23,102","7,370","16,081","13,535","5,272",Solano County
1,Vacaville,,"9,103",822,"3,080","4,840",361,"73,268","2,551","3,991","18,264","19,776","9,259","13,771","5,656","66,726","19,427","17,738","16,598","5,448","13,782","12,011","3,757","25,915","24,132","6,345","15,833","13,985","3,877",Solano County
2,Vallejo,,"11,187","1,649","4,705","4,498",335,"88,669","5,820","4,345","23,332","22,343","7,880","16,774","8,175","78,504","24,949","16,720","15,130","4,543","19,239","16,155","4,963","28,841","25,640","7,940","23,869","21,579","7,503",Solano County
0,Santa Rosa,,"16,144","2,954","5,679","6,373","1,138","125,328","11,953","7,654","23,425","27,036","11,302","28,818","15,140","105,721","43,958","23,545","20,564","7,670","23,936","18,982","7,257","45,761","36,946","14,922","32,086","29,229","14,109",Sonoma County
