"        High school graduate or higher","2,928","±891","45.2%","±10.3","1,101","±641","35.7%","±18.7","1,827","±584","53.8%","±12.8"
"        Bachelor's degree or higher","746","±382","11.5%","±6.0","242","±155","7.8%","±5.2","504","±348","14.8%","±10.1"
"    Two or more races","9,463","±2,000","(X)","(X)","4,898","±1,201","(X)","(X)","4,565","±1,003","(X)","(X)"
"        High school graduate or higher","6,205","±1,319","65.6%","±10.1","3,191","±853","65.1%","±12.7","3,014","±735","66.0%","±10.7"
"        Bachelor's degree or higher","1,651","±502","17.4%","±5.9","611","±287","12.5%","±6.3","1,040","±404","22.8%","±8.8"
"    Hispanic or Latino Origin","18,682","±1,654","(X)","(X)","9,521","±1,076","(X)","(X)","9,161","±855","(X)","(X)"
"        High school graduate or higher","10,117","±1,405","54.2%","±6.2","4,880","±1,079","51.3%","±9.6","5,237","±803","57.2%","±6.9"
"        Bachelor's degree or higher","2,191","±675","11.7%","±3.7","1,052","±392","11.0%","±4.2","1,139","±530","12.4%","±5.7"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","14.5%","±7.4","(X)","(X)","10.7%","±7.3","(X)","(X)","18.8%","±10.9"
"    High school graduate (includes equivalency)","(X)","(X)","17.1%","±7.1","(X)","(X)","16.0%","±9.9","(X)","(X)","18.3%","±10.1"
"    Some college or associate's degree","(X)","(X)","6.4%","±3.1","(X)","(X)","5.3%","±4.0","(X)","(X)","7.5%","±4.7"
"    Bachelor's degree or higher","(X)","(X)","7.3%","±3.4","(X)","(X)","8.5%","±5.4","(X)","(X)","6.2%","±3.7"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","50,530","±2,521","(X)","(X)","51,577","±2,955","(X)","(X)","44,489","±6,766","(X)","(X)"
"        Less than high school graduate","35,508","±9,834","(X)","(X)","41,262","±4,728","(X)","(X)","25,919","±7,082","(X)","(X)"
"        High school graduate (includes equivalency)","32,826","±4,848","(X)","(X)","46,200","±7,103","(X)","(X)","24,714","±4,947","(X)","(X)"
"        Some college or associate's degree","46,425","±7,469","(X)","(X)","52,829","±9,619","(X)","(X)","41,331","±5,743","(X)","(X)"
"        Bachelor's degree","73,563","±8,358","(X)","(X)","84,643","±25,468","(X)","(X)","71,973","±6,547","(X)","(X)"
"        Graduate or professional degree","102,313","±12,006","(X)","(X)","103,996","±11,952","(X)","(X)","94,233","±28,338","(X)","(X)"
